# artifact_type: raw_data
# circuit_file: 03_diode_halfwave_rectifier.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\transient_analysis\03_diode_halfwave_rectifier.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:27:23.765357

Time (s),V(ac_in),V(rect),I(VAC)
0.0,0.0,-1.260356577757399e-22,1.2603565777573989e-26
1e-06,0.0015707963009563327,6.372265017680402e-11,-6.372271389807477e-09
2e-06,0.003141592446881286,1.284411476833214e-10,-6.4718625953155695e-09
4e-06,0.006283183653511627,2.599379115302579e-10,-6.677852630240788e-09
8e-06,0.012566357385018632,5.359061376242513e-10,-7.120638259583423e-09
1.6e-05,0.025132635394094313,1.1495404999762075e-09,-8.220389348390089e-09
3.2e-05,0.05026463578365326,2.730123375203073e-09,-1.1537284572149531e-08
6.4e-05,0.10052419162728789,8.929907889637581e-09,-2.721253464232909e-08
9.941346085903154e-05,0.1561329138238578,2.84920715618228e-08,-8.32698967001555e-08
0.00014144647846798449,0.2221104945853453,1.1818414182220943e-07,-3.4351436950519343e-07
0.00018724495306906332,0.29395408537222123,5.769232622954921e-07,-1.659849462765095e-06
0.0002370450421395529,0.37200541641493434,3.2981102157227013e-06,-9.26898015485289e-06
0.0002903573218884899,0.4554599687649089,2.132789219690485e-05,-5.837186544488393e-05
0.000346907934508653,0.5438436239000154,0.00015302589066554164,-0.00040741593869386694
0.0004065320701077072,0.6368444853990076,0.0011695438378017038,-0.0030024695563695136
0.0004692732940255129,0.7344654539096612,0.007883568780970384,-0.018400711719302798
0.0005366864799115762,0.8390366198731893,0.034501950339636704,-0.06057437269547861
0.0006175588753621963,0.9639850550166695,0.1037204478039729,-0.1106189900504666
0.0007080963076150552,1.1031240334465897,0.21656154929582352,-0.13868253626511717
0.0008080963076150553,1.2557635021614575,0.36031083177382356,-0.14887371592898857
0.0009080963076150553,1.4071636839098565,0.5100544376485078,-0.15070053234732228
0.0010080963076150554,1.5571751649911671,0.660488981044626,-0.15028560878678343
0.0011080963076150554,1.7056499021846676,0.8100701557227653,-0.14902379648317066
0.0012080963076150555,1.8524413688503198,0.9582249987912951,-0.14746271916934006
0.0013080963076150555,1.997404699532874,1.1047148864862806,-0.14572335020915883
0.0014080963076150556,2.14039683292658,1.249373975160961,-0.14383023602636325
0.0015080963076150556,2.2812766530594297,1.3920552354885432,-0.14179642754986155
0.0016080963076150557,2.4199051285575774,1.5326181917086272,-0.1396219522330222
0.0017080963076150557,2.556145449852526,1.6709258745269997,-0.137313767810344
0.0018080963076150557,2.68986316419565,1.8068440697988624,-0.13487039972781467
0.0019080963076150558,2.820926308346828,1.940241276853693,-0.13229872291651112
0.002008096307615056,2.9492055388062295,2.0709887521778945,-0.1295973507347954
0.0021080963076150557,3.0745742594607273,2.1989606915241877,-0.12677352290216337
0.0022080963076150555,3.1969087465189867,2.3240343264952052,-0.12382604654167118
0.0023080963076150553,3.3160882706119015,2.446090133010954,-0.12076257893577136
0.002408096307615055,3.4319952159379117,2.5650119280260233,-0.11758212130046797
0.002508096307615055,3.5445151963355945,2.680687093152074,-0.11429277885375289
0.002608096307615055,3.653537168169001,2.7930066701298877,-0.11089374447820699
0.0027080963076150546,3.7589535399143115,2.9018656039665722,-0.10739361042257123
