# artifact_type: raw_data
# circuit_file: 05_cmos_inverter_switch.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\transient_analysis\05_cmos_inverter_switch.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:27:27.468302

Time (s),V(out),V(in),I(VIN),V(m1#body diode),V(m1#gate),V(m2#body diode),V(m2#gate),V(vdd),I(VDD)
0.0,5.000000009084763,0.0,0.0,5.0,0.0,2.3399991843190395e-11,0.0,5.0,-7.80664421995425e-12
1e-10,5.001152259528643,0.005,-0.0016955365979093276,5.000265903949557,0.0026867851574352564,0.0002886573964473449,0.0022266050488367606,5.0,0.0006888763324948144
1.0927103074257799e-10,5.001265420655496,0.005463551537128899,-0.0018470637125949413,5.000289615895722,0.0029462221085534424,0.00031456250525874196,0.0024396898279195334,5.0,0.0007513047245515381
1.2781309222773396e-10,5.001500842585851,0.006390654611386698,-0.0021400453526969144,5.000332814336423,0.0034836843667589434,0.00036224390667483064,0.0028774887979237107,5.0,0.0008723864962818517
1.6489721519804593e-10,5.002007648839745,0.008244860759902295,-0.0026740848306837425,5.000392014860817,0.004654584873909684,0.0004296877834271129,0.0038128821538436775,5.0,0.0010928245609043152
2.3906546113866987e-10,5.003080955628789,0.011953273056933493,-0.003582268426960851,5.000439193715289,0.007285601979005296,0.00048642065728321526,0.005874138853979138,5.0,0.001469044553604082
3.874019530199177e-10,5.005191303383886,0.019370097650995885,-0.00495351530097494,5.000422968658885,0.013287552572034844,0.0004712009554672658,0.010592096827032105,5.0,0.0020528614687034263
6.144392359564125e-10,5.007902007817519,0.03072196179782062,-0.006332026966761911,5.000322750602041,0.023475994759206475,0.0003594304213665467,0.018971847936149033,5.0,0.0026645767093840256
1.0252307511748056e-09,5.011047901115087,0.05126153755874027,-0.007695514578357279,5.000162752497898,0.04304851885388783,0.00018112952861870646,0.03638801252852086,5.0,0.003292203440976582
1.7543704193877675e-09,5.013332056158962,0.08771852096938837,-0.008597992103432223,5.000036637069534,0.078905890071993,4.0978860544549356e-05,0.07073717555648706,5.0,0.0037197161772510867
2.6507279346963718e-09,5.013957843733849,0.13253639673481857,-0.00881545526559982,5.0000071709645555,0.12356681367735134,8.148163079590987e-06,0.11505961399548634,5.0,0.0038265621658122306
3.6681143989815233e-09,5.014148342535695,0.18340571994907615,-0.00884415495205837,5.000004224198334,0.1744219595446478,4.6038931048597576e-06,0.1658570154973294,5.0,0.0038438958635929055
5.206154734133722e-09,5.014348836554305,0.2603077367066861,-0.00885369207392847,5.000003688848239,0.2513220737745585,4.120839723842362e-06,0.24273232341702833,5.0,0.00385230226372979
8.28223540443812e-09,5.014737843724454,0.414111770221906,-0.008863850458378508,5.000003963327936,0.4051272440174429,4.31837355585607e-06,0.3965047450512336,5.0,0.003861966964530339
1.4434396745046916e-08,5.015686671751893,0.7217198372523458,-0.008887183745486776,5.000005365540443,0.7127408474424566,5.960498318961782e-06,0.7040372758257746,5.0,0.0038849841192885037
2.4434396745046917e-08,5.017899009805742,1.221719837252346,-0.008930246975089484,5.0000080332508094,1.2127529527256646,8.788948208431069e-06,1.2038959808537586,5.0,0.00392449710805387
3.443439674504692e-08,4.9694411295123055,1.7217198372523461,-0.009337964191466708,4.999704120851123,1.7118042893907082,-0.00033063414237862604,1.703621492539584,5.0,-0.002254659144176774
4.364780040537984e-08,3.4840849696507146,2.1823900202689916,-0.02728537267393094,4.993208429513784,2.1401126747216455,-0.011185961069765608,2.142811247794545,5.0,-0.04722376877162926
5.3566064438272196e-08,0.24536996013471002,2.6783032219136094,-0.04883277484222637,4.9977364182764745,2.6617805081764283,-0.022547279760891603,2.5483276111241118,5.0,-0.00579421364830468
5.85085759413535e-08,-0.052659154266817006,2.9254287970676747,0.0006801909905582715,5.000894027042214,2.9310160320206644,0.011123289448654254,2.92188213508636,5.0,0.0014151110908757758
6.307782859082594e-08,0.06650634577155087,3.153891429541297,-0.014671708242830261,4.999693321342951,3.1421411600537597,-0.005772690743062461,3.1216265743003437,5.0,0.00032046124175311164
6.493411546329572e-08,0.005677574289938756,3.2467057731647855,-0.012548612572117035,4.9995755807493945,3.2484328730443823,-0.00048781345523150877,3.2073328355688373,5.0,0.0016642926236807298
6.591658289763754e-08,0.03068117510194701,3.2958291448818766,-0.011332737744038868,5.000960936282977,3.288659563793152,0.00417677240875266,3.269000512738485,5.0,0.0002858074379745723
6.648246111025115e-08,0.01974817162654886,3.3241230555125574,-0.011216470307477744,4.998696941473033,3.3219464548605164,-0.00479187597269797,3.2926502452421653,5.0,0.001679144000625854
6.686195285496868e-08,0.023917762240467,3.343097642748434,-0.011392654105585542,5.001389926846308,3.338418804230914,0.0030665122690052594,3.313598518949197,5.0,0.0004829450973793392
6.721400416857315e-08,0.02152765999749454,3.360700208428657,-0.011254803701019167,4.998633317121869,3.357478831034224,-0.00181162044579265,3.330157174720032,5.0,0.0013291483734367837
6.757646076195993e-08,0.02269466483129986,3.378823038097996,-0.011388149371325262,5.001275798376211,3.374521205624829,0.0010041226207666912,3.348960422457187,5.0,0.0008010141984713393
6.796402050684504e-08,0.022078692511358973,3.3982010253422517,-0.011193332179785243,4.998829634887102,3.394817798226551,-0.0005666774497410662,3.3680042559185965,5.0,0.0011183717164300333
6.842517776104212e-08,0.02217868990295179,3.421258888052106,-0.011392523384066378,5.001066893096276,3.417069190348555,0.0002794265025150419,3.391271015603458,5.0,0.0009238969261908814
6.902119898208265e-08,0.022153195897803075,3.451059949104132,-0.011169325104484873,4.99900922893849,3.447617645870047,-0.0001570027576564834,3.4209942770247626,5.0,0.001053118774521522
6.982999488424934e-08,0.02190227358543711,3.491499744212467,-0.011382067815561614,5.000930801648346,3.487369770233121,5.530362145520634e-05,3.461483514745128,5.0,0.0009583151906848997
7.10186251573503e-08,0.022022963183383603,3.5509312578675147,-0.011156566710396776,4.999105744730956,3.5474767776320366,-2.5239554404568945e-05,3.5209160379718023,5.0,0.0010350875212030708
7.280848280715216e-08,0.021587655337134387,3.640424140357608,-0.011371661494544716,5.00086685854877,3.636337895420052,-1.8610360832236337e-05,3.6103954008115293,5.0,0.0009679729397649162
7.55865025318358e-08,0.02170799345877772,3.7793251265917895,-0.011140589552910196,4.99914792245271,3.7758974367050486,2.3605203260565824e-05,3.7493310478198,5.0,0.0010299786281047218
7.994598735962064e-08,0.021040954973536433,3.9972993679810314,-0.011356618213994363,5.00083999664764,3.9932716485355555,-4.787311801247374e-05,3.967257232784524,5.0,0.000970781818369737
8.666041912551311e-08,0.02114927187781134,4.333020956275655,-0.01111001221933483,4.999165929359532,4.3296654873539575,4.819731262011083e-05,4.303046388539349,5.0,0.0010285946201471496
9.666041912551311e-08,0.020218950514232916,4.8330209562756545,-0.011328820170911635,5.000828282893041,4.829088539191505,-6.275860996247864e-05,4.802966912847069,5.0,0.0009715685740614433
1.0000000000000001e-07,0.020663951159216952,5.0,-0.011077496445980772,4.999185671311979,4.9967144252922,7.890356252379443e-05,4.970053085369858,5.0,0.001027813127186139
1.0008797496576559e-07,0.019616241708306337,5.0,-0.009759449153087907,4.99979035643916,4.998011736048489,-0.00048687369449688066,4.972709916492247,5.0,0.0005166842660959681
1.0026392489729676e-07,0.017451980329502747,5.0,-0.007629371035499544,4.9999188104607315,4.999656278940935,-0.001090622245330847,4.977455607952566,5.0,-7.67105093446574e-06
1.0031661490048822e-07,0.016731752258407236,5.0,-0.007196491667779359,4.999818588697299,4.999755041029323,-0.0011480984013065524,4.978655483967338,5.0,-2.57848510285541e-05
1.0036457506093708e-07,0.016068319565604543,5.0,-0.00684776720436675,4.999855533154474,4.999774953105936,-0.0011834947968213973,4.979681745280963,5.0,-3.456511218891123e-05
1.0042870233136241e-07,0.015216044028797771,5.0,-0.006406023544938133,4.99984987565763,4.999810096768038,-0.001183629803506175,4.980971832597147,5.0,-3.892875245092853e-05
1.0055695687221307e-07,0.013573518932844933,5.0,-0.005625715586929481,4.9998622367805,4.999837007322017,-0.0011484246454967015,4.983285845917194,5.0,-4.3667528249358156e-05
1.007011686968332e-07,0.011885543306727897,5.0,-0.004870179987234158,4.9998747185293535,4.99985851060305,-0.0010554805187302707,4.985530949435247,5.0,-3.853495594796641e-05
