# artifact_type: raw_data
# circuit_file: 02_pnp_common_emitter.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\ac_analysis\02_pnp_common_emitter.cir
# analysis_type: ac
# executor: spice
# timestamp: 2026-04-22T10:23:57.803956

Frequency (Hz),V(out)_mag,V(out)_phase,V(out)_real,V(out)_imag,V(in)_mag,V(in)_phase,V(in)_real,V(in)_imag,I(VIN)_mag,I(VIN)_phase,I(VIN)_real,I(VIN)_imag,V(base)_mag,V(base)_phase,V(base)_real,V(base)_imag,V(col)_mag,V(col)_phase,V(col)_real,V(col)_imag,V(emit)_mag,V(emit)_phase,V(emit)_real,V(emit)_imag,V(vss)_mag,V(vss)_phase,V(vss)_real,V(vss)_imag,I(VSS)_mag,I(VSS)_phase,I(VSS)_real,I(VSS)_imag
1.0,2.0785386647137734,-96.87162334564002,-0.2486870601647907,-2.063607939221186,1.0,0.0,1.0,0.0,5.3481216210600616e-05,-121.30095499469977,-2.7785275620940065e-05,-4.569703432426883e-05,0.519543645649161,58.33840414964828,0.2727091102652606,0.4422163960243343,2.19447679662098,-115.57913925170855,-0.9474815370386872,-1.9793956521824243,0.5067436772952147,58.14690481379125,0.2674305058296728,0.4304301093445509,0.0,0.0,0.0,0.0,0.0004593133342932081,-115.47815183120676,-0.00019758138829907386,-0.00041464482880816797
1.1220184543019633,2.2790002978854904,-100.73693206185548,-0.424577653624579,-2.239101644366508,1.0,0.0,1.0,0.0,5.797463972286246e-05,-124.2757694748997,-3.2649962779355865e-05,-4.79065630316179e-05,0.5631907290587955,55.318947496656705,0.3204598120653119,0.4631299020240893,2.380529555981289,-117.53085711561947,-1.1003432574443943,-2.1109632120662676,0.5493155131793027,55.1037432825925,0.3142591696283585,0.45054268091262484,0.0,0.0,0.0,0.0,0.0004982789085572596,-117.41231724339472,-0.00022940294239521853,-0.00044233037509697426
1.258925411794167,2.481567198896777,-104.45344260146862,-0.619382358170443,-2.403027518990912,1.0,0.0,1.0,0.0,6.248250688273456e-05,-127.36974524363578,-3.792414921200831e-05,-4.9657049579050727e-05,0.6069754340613576,52.17493533513537,0.37222929763551366,0.4794418917196803,2.5697715748282355,-119.50860857628912,-1.2657521002253638,-2.2364251759382134,0.5920211953894979,51.93316076328415,0.3650286191458526,0.4660935560538058,0.0,0.0,0.0,0.0,0.0005379292139633199,-119.3710936838608,-0.0002638349972354124,-0.00046878452776194
1.412537544622754,2.683645858464234,-107.98757014207436,-0.8287384569519559,-2.5524787293180577,1.0,0.0,1.0,0.0,6.692424289827837e-05,-130.5482590272194,-4.3506666745671294e-05,-5.085296683762769e-05,0.6501141886273122,48.94033294634906,0.4270240055631083,0.4902029752331038,2.7596837945348214,-121.46867186027593,-1.440644025378146,-2.353805310122391,0.6340963379289402,48.668772601180706,0.4187642122194851,0.47614567134343105,0.0,0.0,0.0,0.0,0.0005777420924214107,-121.31069960176497,-0.00030024024061191273,-0.0004936007731687327
1.584893192461113,2.8827975211146635,-111.30042371725744,-1.0471996094839846,-2.685869417086661,1.0,0.0,1.0,0.0,7.121835878334717e-05,-133.77114533597967,-4.926740784052994e-05,-5.1427396905428257e-05,0.6918143524621763,45.65456675984336,0.48356618182341177,0.4947432122519595,2.947863657936038,-123.36087393413627,-1.6210612133756677,-2.462125238136567,0.6747676861918026,45.34961201487752,0.47421253470059793,0.48003531355669354,0.0,0.0,0.0,0.0,0.0006172207348883869,-123.1809206425182,-0.00033779537376400304,-0.0005165807981717845
1.778279410038922,3.0770326926599734,-114.3497632629502,-1.268678385722546,-2.8033168471114216,1.0,0.0,1.0,0.0,7.528915185589907e-05,-136.99489731365944,-5.5058426780360516e-05,-5.1351981730526324e-05,0.7313392707317061,42.360314124672485,0.5404028363687188,0.4927696250369209,3.1323246689802127,-125.13118980790912,-1.8024979183536005,-2.561729705927801,0.7133165630523625,42.0179147892699,0.5299482478689157,0.4774676677069363,0.0,0.0,0.0,0.0,0.0006559564853413671,-124.9277267202776,-0.00037556309485954896,-0.0005378022614687638
1.9952623149688786,3.2650958369681646,-117.09270781573265,-1.4870278336685794,-2.906819403829858,1.0,0.0,1.0,0.0,7.907300148581723e-05,-140.17535261572715,-6.0728704952410694e-05,-5.064152405663856e-05,0.7680693835944012,39.10080688947213,0.5960506636719155,0.48441117281845636,3.31178503757023,-126.72492626051286,-1.9803610120577548,-2.6544472865354916,0.7491384662995642,38.71641712039006,0.5845162043556928,0.4685608269320826,0.0,0.0,0.0,0.0,0.0006936893660547237,-126.4964772205041,-0.0004125879558844472,-0.0005576523246938883
2.2387211385683385,3.446693567861873,-119.4887942423483,-1.6966463821754523,-3.00018126195591,1.0,0.0,1.0,0.0,8.252309277699877e-05,-143.27046353039972,-6.6139573294649e-05,-4.935197752758139e-05,0.8015480465539818,35.91704946428787,0.6491474065457864,0.47019880424069965,3.4858997156557816,-128.09011530614413,-2.1504518956302596,-2.743547607057199,0.7817877511573625,35.48556720832359,0.6365798791523385,0.4538261179329376,0.0,0.0,0.0,0.0,0.0007303567603745112,-127.83533943618929,-0.0004479966711266973,-0.0005768188451187679
2.511886431509579,3.6226343495382234,-121.50296010501296,-1.8929808242433475,-3.088705753143411,1.0,0.0,1.0,0.0,8.561177926444281e-05,-146.24272688937756,-7.117755466058207e-05,-4.7572391797801516e-05,0.831504392268112,32.84537570506973,0.6985778809763208,0.45098614011053123,3.655404555888469,-129.18071913979298,-2.309369405031519,-2.8335129112666033,0.8109999166848559,32.361074856316144,0.6850449439868094,0.4340901859993525,0.0,0.0,0.0,0.0,0.0007661236983430496,-128.8985209219373,-0.000481081988427893,-0.0005962429383842601
2.818382931264452,3.7948713248706984,-123.10810871092445,-2.072836560324045,-3.1787414123375735,1.0,0.0,1.0,0.0,8.833040285369282e-05,-149.060941590156,-7.57622784839132e-05,-4.541296320679424e-05,0.85785146247825,29.915676688587123,0.7435516127125774,0.42783189561859164,3.822164412110603,-129.95933087722807,-2.4547610206329087,-2.9296909606281125,0.8366897676014775,29.37213105237394,0.7291353780200862,0.4103795410696304,0.0,0.0,0.0,0.0,0.0008013930094960815,-129.6489976291077,-0.0005113549963181748,-0.0006170468567374978
3.162277660168377,3.966462669633202,-124.28706531031932,-2.234465257622001,-3.277192567133337,1.0,0.0,1.0,0.0,9.068698305853293e-05,-151.7011312393241,-7.984868368534941e-05,-4.299205286998581e-05,0.8806636071786165,27.15046176339676,0.7836243852299162,0.4018721337464048,3.9891392855421874,-130.39920257501575,-2.585398278512432,-3.0379183631100073,0.8589293494247069,26.540459816985532,0.7684145609844371,0.38379511431263036,0.0,0.0,0.0,0.0,0.0008367982593799508,-130.06056492156105,-0.0005385608520909411,-0.000640455724852542
3.5481338923357515,4.141477674330368,-125.03388226221328,-2.377459768880513,-3.391094568768539,1.0,0.0,1.0,0.0,9.270256198928014e-05,-154.1466517642121,-8.342425332030056e-05,-4.042473200067812e-05,0.9001407842784642,24.56473293754996,0.8186709939280884,0.37420747617096667,4.160296143835581,-130.4855766024619,-2.7010997558327716,-3.164194070131184,0.8779131012562669,23.880182263648674,0.8027585011397472,0.35540146623960706,0.0,0.0,0.0,0.0,0.0008731852119919343,-130.11918097483655,-0.0005626627963866284,-0.0006677297297588141
3.9810717055349687,4.324878858091368,-125.35454039923664,-2.502523041391194,-3.5273156315351004,1.0,0.0,1.0,0.0,9.440707186453173e-05,-156.38764167395036,-8.65029677481381e-05,-3.781443889309266e-05,0.9165681715177677,22.16651485531941,0.8488257606183112,0.3458208223201281,4.3404961267246955,-130.2163817984864,-2.802554364146657,-3.3144525433492955,0.8939184296380775,21.398334997360646,0.832297430900019,0.3261458958255258,0.0,0.0,0.0,0.0,0.0009115880048608867,-129.82365569874761,-0.0005838054308105965,-0.0007001170684694853
4.4668359215096265,4.522403578262877,-125.26710334242462,-2.611185806925279,-3.6924033916132264,1.0,0.0,1.0,0.0,9.583543641624237e-05,-158.4200391098208,-8.911786875185976e-05,-3.52482104824902e-05,0.9302779900957229,19.957816200220705,0.8744093798830218,0.3175301170426632,4.5353801876171005,-129.6023618671408,-2.891104186198112,-3.4944513204189116,0.9072684314718749,19.095818547231264,0.8573439810050539,0.29681190168158994,0.0,0.0,0.0,0.0,0.0009532048525771232,-129.1857442636613,-0.0006022695887860494,-0.0007388307203954489
5.0118723362727176,4.740458265356834,-124.80133185911825,-2.7055343336566082,-3.892560665551047,1.0,0.0,1.0,0.0,9.702435018982927e-05,-160.24438990814818,-9.13137806148536e-05,-3.2795091089689136e-05,0.9416178387143951,17.935798349057304,0.8958572663892973,0.28997226150558586,4.75126613462054,-128.66665095772635,-2.968535493337391,-3.7097610309544384,0.9183009568087434,16.968551502246104,0.8783228062306273,0.2680031629123237,0.0,0.0,0.0,0.0,0.0009993760233348488,-128.22965476476415,-0.0006184289248902156,-0.000785046559686563
5.623413251903484,4.986029603669037,-123.99770462522774,-2.787986768741691,-4.133717574530857,1.0,0.0,1.0,0.0,9.800991502899728e-05,-161.86462818271212,-9.314115027769687e-05,-3.0506877403935553e-05,0.9509272610827676,16.093969927399105,0.9136588381532995,0.26360990750489033,4.995061443673418,-127.44374841332662,-3.0369086502371414,-3.9658321543135924,0.927345689498508,15.008648830056735,0.8957109108218126,0.24014993663589052,0.0,0.0,0.0,0.0,0.0010515650835758394,-126.99092347054204,-0.000632714617261593,-0.0008399174590990341
6.3095734448019245,5.266612434106035,-122.90577275704712,-2.8611348251803967,-4.421664171239177,1.0,0.0,1.0,0.0,9.88261170424118e-05,-163.28695184404705,-9.465140819217461e-05,-2.8420280380721382e-05,0.9585223611146403,14.423285170607027,0.9283116656582255,0.238752106084189,5.274191811282542,-125.97782398123373,-3.098440447731584,-4.268110361045122,0.9347090611739378,13.205502097862325,0.9099925213469614,0.2135290147339793,0.0,0.0,0.0,0.0,0.0011113435262854357,-125.51460044539651,-0.0006455910063114958,-0.0009045975270728178
7.07945784384137,5.590154066994573,-121.58183182890339,-2.9276520193053557,-4.762213366344818,1.0,0.0,1.0,0.0,9.950401656423799e-05,-164.51885944926505,-9.589384815924372e-05,-2.6559728869626222e-05,0.9646871981758948,12.91308025875754,0.9402904540146556,0.21558119679918902,5.596545380663641,-124.32033987233676,-3.155440167154636,-4.622176711175662,0.9406657579482026,11.546695565275344,0.9216284665627119,0.18828977082553008,0.0,0.0,0.0,0.0,0.001180378907735203,-123.8527535068146,-0.0006575424475364404,-0.000980271541723995
7.943282347242804,5.9650173608514985,-120.08602297035783,-2.990261250729936,-5.161372856870816,1.0,0.0,1.0,0.0,0.00010007148371459244,-165.56837168823256,-9.691380132053126e-05,-2.4940267970583862e-05,0.9696703004508418,11.55182522820937,0.9500286310364795,0.1941805649064249,5.970435237077013,-122.52710301862223,-3.210294092238517,-5.03389598238475,0.9454551935774752,10.018735542441373,0.931037869751947,0.16448102671851805,0.0,0.0,0.0,0.0,0.0012604271486385237,-122.06143072357484,-0.0006690702869410129,-0.0010681861018369924
8.912509381337442,6.399967893140849,-118.4791292599342,-3.0517517810048735,-5.625513318832984,1.0,0.0,1.0,0.0,0.00010055331808029188,-166.44343292099686,-9.77517990872345e-05,-2.357022596763327e-05,0.9736846842534189,10.327697445307669,0.9579095200685349,0.17456006333565907,6.404585699269006,-120.655014846466,-3.265491104736431,-5.50956312461962,0.949281370074061,8.607598782625832,0.9385891777222418,0.142075596188692,0.0,0.0,0.0,0.0,0.0013533302005228687,-120.19737203906121,-0.000680698436726393,-0.0011696804135683872
