# artifact_type: raw_data
# circuit_file: 07_vcvs_subckt_buffer.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\transient_analysis\07_vcvs_subckt_buffer.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:27:31.928131

Time (s),V(buf_out),V(in),I(VIN),V(amp),I(E.XBUF.EBUF),I(EAMP)
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-07,0.0003141592446881286,3.141592446881286e-05,0.0,0.0003141592446881286,-3.141592446881286e-08,0.0
2e-07,0.0006283183653511628,6.283183653511628e-05,0.0,0.0006283183653511628,-6.283183653511628e-08,0.0
4e-07,0.0012566357385018635,0.00012566357385018634,0.0,0.0012566357385018635,-1.2566357385018636e-07,0.0
8e-07,0.002513263539409431,0.00025132635394094314,0.0,0.002513263539409431,-2.5132635394094314e-07,0.0
1.6e-06,0.005026463578365327,0.0005026463578365327,0.0,0.005026463578365327,-5.026463578365327e-07,0.0
3.2e-06,0.01005241916272879,0.001005241916272879,0.0,0.01005241916272879,-1.005241916272879e-06,0.0
6.4e-06,0.0201007746814766,0.00201007746814766,0.0,0.0201007746814766,-2.01007746814766e-06,0.0
1.28e-05,0.04016905006669711,0.004016905006669711,0.0,0.04016905006669711,-4.016905006669711e-06,0.0
2.28e-05,0.07138356557372445,0.007138356557372445,0.0,0.07138356557372445,-7.1383565573724455e-06,0.0
3.28e-05,0.10231636275948133,0.010231636275948133,0.0,0.10231636275948133,-1.0231636275948134e-05,0.0
4.28e-05,0.1328453640053263,0.01328453640053263,0.0,0.1328453640053263,-1.3284536400532629e-05,0.0
5.2799999999999996e-05,0.16285008529071604,0.016285008529071603,0.0,0.16285008529071604,-1.6285008529071605e-05,0.0
6.28e-05,0.19221211168859031,0.019221211168859033,0.0,0.19221211168859031,-1.9221211168859032e-05,0.0
7.28e-05,0.22081556469499067,0.022081556469499067,0.0,0.22081556469499067,-2.208155646949907e-05,0.0
8.28e-05,0.24854755954857544,0.024854755954857543,0.0,0.24854755954857544,-2.4854755954857546e-05,0.0
9.279999999999999e-05,0.2752986507352007,0.027529865073520073,0.0,0.2752986507352007,-2.752986507352007e-05,0.0
