# artifact_type: raw_data
# circuit_file: 02_diode_bridge_rectifier.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\by_device\diode\02_diode_bridge_rectifier.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:24:34.971482

Time (s),V(ac_hi),V(ac_lo),V(neg),V(pos),I(VAC)
0.0,-1.3643179669438448e-18,-1.3643179669438448e-18,-3.3842710481305627e-25,3.3842710351509384e-22,0.0
2e-06,0.0031415924468456632,-0.0031415924469169083,-1.4648086518364663e-19,-2.591240229967888e-21,-1.2919265031906269e-08
4e-06,0.006283183618456929,-0.006283183688566325,-7.257610460254353e-11,1.4514931488115421e-12,-1.3271032313008635e-08
8e-06,0.012566357258116466,-0.012566357511920798,-2.6720025445065867e-10,8.24682670849883e-12,-1.3986173861418871e-08
1.6e-05,0.025132634974863323,-0.025132635813325303,-9.155947070517226e-10,5.555607450236258e-11,-1.5513087099627842e-08
2.6915814659665633e-05,0.04227875781490725,-0.042278760112792343,-2.5818163284693338e-09,2.464250476767839e-10,-1.7992016751455786e-08
4.3183346310616167e-05,0.06783015800787172,-0.06783016408269064,-7.123254203857337e-09,1.0357084710203889e-09,-2.3283161537657193e-08
6.446761416983362e-05,0.10125856094707117,-0.10125857644446434,-1.930685476019574e-08,3.847916336917092e-09,-3.5887727817263126e-08
9.207132333080573e-05,0.14460510896356965,-0.14460515168472104,-5.7103281736565774e-08,1.439141489279613e-08,-7.384268219112755e-08
0.00012527404151426675,0.1967291424366125,-0.19672927676268265,-1.8969977186781683e-07,5.5352497649086166e-08,-2.063347077640998e-07
0.00016371446712237057,0.2570484716697907,-0.2570489691230128,-7.294112268184452e-07,2.3195236692924156e-07,-7.458736591137161e-07
0.00020672990025752562,0.32450125156419013,-0.3245034097168544,-3.244517011368506e-06,1.0863700478797369e-06,-3.2607370104020816e-06
0.0002538823803252197,0.3983694076847146,-0.3983802216541743,-1.657032010343875e-05,5.756350352128596e-06,-1.658631370160535e-05
0.00030478577673582476,0.4779943876756845,-0.47805591155663707,-9.589413122282456e-05,3.4370250190726926e-05,-9.590986839735915e-05
0.0003591431027480259,0.5627505004968983,-0.5631384837584724,-0.0006156781065285587,0.0002276948449451538,-0.0006156936696727344
0.00041677245597254004,0.6515521088785702,-0.6540393162333308,-0.0040623379077876776,0.0015751305530315987,-0.00406235359480811
0.0004779248811872089,0.7421528199867811,-0.7536575557289957,-0.02062507051301528,0.009120334770800442,-0.020625087534742015
0.0005450784036486134,0.8400898887636157,-0.8639676484681722,-0.06008154303175792,0.03620378332720102,-0.06008156179233182
0.0006287432819501845,0.9776207882740342,-0.984814984759949,-0.11771196271627021,0.11051776623035435,-0.1177119823425321
0.0007470299839041961,1.2149090902506052,-1.1104707573815502,-0.1846991002438514,0.28913743311290774,-0.18469912048429804
0.0009159106709780874,1.622115776683668,-1.2157603641580637,-0.24389582387815845,0.6502512364037595,-0.24389584374689077
0.0011159106709780872,2.1633476541883505,-1.271018817271114,-0.27564329136965193,1.1679721282868865,-0.2756433105696843
0.0013159106709780873,2.7290120563578486,-1.2882908702692935,-0.28554025360867064,1.7262614396972265,-0.28554027171966245
0.0015159106709780874,3.2960834774355945,-1.2883014450389538,-0.28561743716508325,2.293399469561723,-0.2856174544783783
0.0017159106709780875,3.8536216969631347,-1.2797527484760627,-0.2806898216884868,2.8545587701755575,-0.28068983797050073
0.0019159106709780876,4.395548427182223,-1.2665564575011787,-0.2730714431370376,3.402063412818084,-0.2730714587293339
0.0021159106709780877,4.918145418247594,-1.250344164469828,-0.26373751073473106,3.9315387645125024,-0.26373752540001494
0.0023159106709780878,5.418717397070459,-1.2318126734128265,-0.25310810141523654,4.440012825072869,-0.25310811547774703
0.002515910670978088,5.895039863057882,-1.2112840913412484,-0.2413861746721433,4.92514194638878,-0.24138618787668564
0.002715910670978088,6.345145247876372,-1.1889271763611848,-0.22868952781886653,5.384907599334054,-0.22868954047458923
0.002915910670978088,6.767241037616838,-1.1648463145909638,-0.2151018046508253,5.81749652767671,-0.21510181649060112
0.003115910670978088,7.159678767075377,-1.1391191881495129,-0.20069729503765465,6.2212568739635214,-0.20069730636145655
0.0033159106709780882,7.520947609955466,-1.111809384117385,-0.18554806325173034,6.594686289089821,-0.18554807378541827
0.0035159106709780883,7.849674858272653,-1.0829716267240705,-0.169731272325365,6.936434503873937,-0.16973128236375112
0.0037159106709780884,8.144633464752445,-1.0526494364298653,-0.15332934453777902,7.245313372860355,-0.15332935380291635
0.003915910670978088,8.404749467244958,-1.0208723763508427,-0.13643604027596457,7.5203131311700755,-0.13643604906011486
0.004115910670978088,8.629115197595386,-0.9876469651542443,-0.11915764128638529,7.760625873727532,-0.1191576493101636
0.004315910670978087,8.817003361536237,-0.9529461535915686,-0.101623987593217,7.965681195537877,-0.10162399514867526
0.004515910670978087,8.96789181977948,-0.916687520455655,-0.08399831245031475,8.135202611774124,-0.0839983192592948
0.004715910670978087,9.081497832108768,-0.878701414412534,-0.06650749876313,8.26930391645936,-0.0665075051212638
0.004915910670978086,9.157842123196922,-0.8386686735667261,-0.049488226236118926,8.368661675866301,-0.049488231872541366
0.005115910670978086,9.197358508398885,-0.7960121774636484,-0.033563160416721693,8.434909491351943,-0.03356316564286943
0.005315910670978086,9.201178958235005,-0.7496123481660995,-0.019565598341179324,8.47113220841009,-0.019565602910691426
0.005515910670978085,9.171342334518908,-0.6975983652185196,-0.008961273212275689,8.482705242512626,-0.008961277481769114
0.005715910670978085,9.111424056176144,-0.636717836645877,-0.0028847326478554924,8.477590952178076,-0.0028847364053674607
0.005915910670978085,9.026202786841255,-0.5626688365167976,-0.0006095990051790887,8.464143549329611,-0.0006096025851374254
0.006115910670978084,8.919799769370709,-0.4719586889647225,-8.329942257248677e-05,8.447924379828212,-8.330254931521175e-05
0.006315910670978084,8.794354465736866,-0.36322584762719856,-8.114013276937422e-06,8.43113673215208,-8.116981219163932e-06
0.006515910670978084,8.650780396615147,-0.2364809859811885,3.63673512063093e-08,8.414299373692161,3.384506863657322e-08
0.006715910670978083,8.489678019042746,-0.09219047231226618,-5.072248304299381e-07,8.397488057118832,-5.095949824895918e-07
