# artifact_type: raw_data
# circuit_file: 01_rc_discharge.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\by_device\capacitor\01_rc_discharge.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:24:15.018414

Time (s),V(cap)
1e-06,4.999500049995
2e-06,4.999000149980002
4e-06,4.998000449920012
8e-06,4.996001649500126
1.6e-05,4.992006446261822
3.2e-05,4.9840256206083255
6.4e-05,4.9681022160696395
9.999999999999999e-05,4.950249183550324
0.00010639999999999998,4.947083050398068
0.00011919999999999998,4.940754834151956
0.0001448,4.92812267094543
0.000196,4.902955111821544
0.000296,4.854169488818342
0.000396,4.805869294899751
0.0004959999999999999,4.758049699925626
0.000596,4.710705921816914
0.000696,4.663833226077443
0.000796,4.617426925320453
0.0008960000000000001,4.571482378799852
0.0009960000000000001,4.525994991946122
0.0010960000000000002,4.4809602159068564
0.0011960000000000002,4.436373547091863
0.0012960000000000003,4.3922305267227895
0.0013960000000000003,4.348526740387239
0.0014960000000000004,4.305257817597316
0.0015960000000000004,4.262419431352566
0.0016960000000000005,4.220007297707267
0.0017960000000000005,4.1780171753420206
0.0018960000000000005,4.136444865139612
0.0019960000000000004,4.0952862097650895
0.002096,4.054537093250014
0.002196,4.014193440580859
0.002296,3.974251217291497
0.0023959999999999997,3.9347064290597418
0.0024959999999999995,3.8955551213079036
0.0025959999999999993,3.8567933788073283
0.002695999999999999,3.818417325286857
0.002795999999999999,3.780423123045197
0.002895999999999999,3.7428069725671356
0.0029959999999999987,3.705565112143583
0.0030959999999999985,3.668693817495389
0.0031959999999999983,3.6321894014009075
0.003295999999999998,3.5960482133272658
0.003395999999999998,3.560266639065302
0.003495999999999998,3.524841100368134
0.0035959999999999976,3.489768054593326
0.0036959999999999975,3.4550439943486158
0.0037959999999999973,3.420665447141166
0.003895999999999997,3.386628975030308
0.003995999999999997,3.3529311742837375
0.004095999999999997,3.319568675037133
0.0041959999999999975,3.2865381409571617
0.004295999999999998,3.2538362689078375
0.004395999999999998,3.2214597886201983
0.004495999999999998,3.1894054623652717
0.0045959999999999985,3.1576700846302947
0.004695999999999999,3.1262504817981536
0.004795999999999999,3.095143511830013
0.004895999999999999,3.0643460639511066
0.004996,3.0338550583396535
0.005096,3.0036674458188615
0.005196,2.973780207552007
0.005296,2.9441903547405444
0.005396000000000001,2.9148949283252152
0.005496000000000001,2.885890998690139
0.005596000000000001,2.857175665369839
0.005696000000000001,2.8287460567591936
0.005796000000000002,2.800599329826267
0.005896000000000002,2.7727326698279957
0.005996000000000002,2.745143290028712
0.0060960000000000025,2.717828431421461
0.006196000000000003,2.690785362452093
