# artifact_type: raw_data
# circuit_file: 03_pmos_common_source.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\ac_analysis\03_pmos_common_source.cir
# analysis_type: ac
# executor: spice
# timestamp: 2026-04-22T10:24:00.338909

Frequency (Hz),V(out)_mag,V(out)_phase,V(out)_real,V(out)_imag,V(drain)_mag,V(drain)_phase,V(drain)_real,V(drain)_imag,V(in)_mag,V(in)_phase,V(in)_real,V(in)_imag,I(VIN)_mag,I(VIN)_phase,I(VIN)_real,I(VIN)_imag,V(gate)_mag,V(gate)_phase,V(gate)_real,V(gate)_imag,V(m1#body diode)_mag,V(m1#body diode)_phase,V(m1#body diode)_real,V(m1#body diode)_imag,V(m1#gate)_mag,V(m1#gate)_phase,V(m1#gate)_real,V(m1#gate)_imag,V(vss)_mag,V(vss)_phase,V(vss)_real,V(vss)_imag,I(VSS)_mag,I(VSS)_phase,I(VSS)_real,I(VSS)_imag
1.0,0.007898950028968777,-104.4904890604736,-0.0019764696743028234,-0.007647678025826344,0.014847146841365963,-162.34858142513156,-0.01414812728415813,-0.004502028840461116,1.0,0.0,1.0,0.0,1.905676524267475e-06,-162.33333869336778,-1.8158014419112527e-06,-5.783322044441057e-07,0.9528382448403024,17.655786753260124,0.907955570913488,0.28899377515356695,3.766271288141949e-12,-114.6837763440099,-1.572831826944733e-12,-3.4221337583490375e-12,0.9528382448403018,17.655786688012803,0.9079555712425877,0.2889937741196046,0.0,0.0,0.0,0.0,5.318764470262477e-07,-162.35640686553987,-5.068571575023249e-07,-1.6120910889254466e-07
1.1220184543019633,0.008636853299509297,-109.35041802662893,-0.0028617761895937052,-0.008148955267880613,0.014989499451209308,-164.1671560169852,-0.014420824144155233,-0.004089611815460444,1.0,0.0,1.0,0.0,1.923963812601037e-06,-164.1503869859216,-1.8508182918521136e-06,-5.254601818824556e-07,0.9619818843252,15.837411565493671,0.9254650536059255,0.2625330080657361,4.062481316467887e-12,-113.24296963772332,-1.6031815315975089e-12,-3.732768868198956e-12,0.961981884325199,15.837411492284977,0.9254650539413716,0.26253300688323883,0.0,0.0,0.0,0.0,5.369680693287577e-07,-164.1753388715367,-5.166173608095979e-07,-1.4642817348030835e-07
1.258925411794167,0.009371221642962967,-114.16033204643078,-0.003835560816670522,-0.008550337321016012,0.015105507090356943,-165.81611787483573,-0.014645005419138412,-0.003701372816973511,1.0,0.0,1.0,0.0,1.9388711746002592e-06,-165.79770699182325,-1.8796106082095353e-06,-4.7569464281403275e-07,0.9694355594577831,14.188602758891552,0.9398620815046624,0.23762275078566922,4.401764397741328e-12,-111.70845611775232,-1.6281416996751318e-12,-4.089582425994376e-12,0.9694355594577821,14.188602676750055,0.9398620818453268,0.23762274943824546,0.0,0.0,0.0,0.0,5.411151587631385e-07,-165.82457513228954,-5.246384604091788e-07,-1.3251453091168195e-07
1.412537544622754,0.010089369366278217,-118.89611050343753,-0.0048754148454721105,-0.008833215965532795,0.015199567453635463,-167.3063018056061,-0.0148280705441796,-0.0033399363338913746,1.0,0.0,1.0,0.0,1.9509626754104453e-06,-167.28612264712282,-1.90312754320597e-06,-4.2937269956937283e-07,0.9754813024288942,12.698516641962986,0.9516212593248785,0.21443122484681149,4.790743259652462e-12,-110.12736581480553,-1.6485339866599528e-12,-4.498172592812835e-12,0.9754813024288927,12.698516549798716,0.9516212596698048,0.21443122331606185,0.0,0.0,0.0,0.0,5.444754525643109e-07,-167.31493452816596,-5.311857950930814e-07,-1.19562408542326e-07
1.584893192461113,0.010778763314082162,-123.52925989842034,-0.005953787490630365,-0.008985218589295246,0.015275516591498043,-168.64932308169355,-0.014976742223793643,-0.0030064263668296677,1.0,0.0,1.0,0.0,1.9607302011436287e-06,-168.62723303197424,-1.9222312864339115e-06,-3.8663911226279815e-07,0.9803650559773236,11.355531968573828,0.9611737079810845,0.19303042782761926,5.236412012867251e-12,-108.54115772262442,-1.6651046168689766e-12,-4.964618553663722e-12,0.9803650559773224,11.355531865163826,0.9611737083294732,0.19303042609284946,0.0,0.0,0.0,0.0,5.471866129981123e-07,-168.6580216162093,-5.3650051439828e-07,-1.0761220885534754e-07
1.778279410038922,0.011428033277970486,-128.02867620754375,-0.007040306103964147,-0.009001890610582092,0.01533663477918079,-169.85702862527663,-0.01509694433392207,-0.002700858776099949,1.0,0.0,1.0,0.0,1.968594253235533e-06,-169.83286237648514,-1.9376814456576415e-06,-3.474966892303843e-07,0.9842970702761463,10.14779963797131,0.9688992542528098,0.1734213298950099,5.7462208067684754e-12,-106.98413688257457,-1.6785109046912577e-12,-5.4956032155689224e-12,0.9842970702761447,10.14779952194339,0.9688992546039984,0.1734213279329216,0.0,0.0,0.0,0.0,5.493664173985843e-07,-169.86567940048124,-5.407951791393974e-07,-9.666454771498503e-08
1.9952623149688786,0.012027892811231353,-132.36298841827812,-0.008104697567862619,-0.008887298960423949,0.015385683808846192,-170.9411010553013,-0.015193778285096514,-0.002422471401094652,1.0,0.0,1.0,0.0,1.9749087858755965e-06,-170.91466343634082,-1.9501320760601284e-06,-3.118486787691058e-07,0.9874543218607422,9.063638989137488,0.9751249455520569,0.15555506524557927,6.328188580650765e-12,-105.48293709161722,-1.6893187459815744e-12,-6.0985385861494705e-12,0.9874543218607404,9.063638858952034,0.9751249459055019,0.15555506302993444,0.0,0.0,0.0,0.0,5.511140684575733e-07,-170.94959399287373,-5.442528829575947e-07,-8.669207486388596e-08
2.2387211385683385,0.01257179426511392,-136.50304286992358,-0.009119716934325745,-0.0086533677884465,0.015424960648032492,-171.91278769929534,-0.015271560655264473,-0.002169987591192413,1.0,0.0,1.0,0.0,1.9799681454179257e-06,-171.88384643036792,-1.960136573937124e-06,-2.7953258912644337e-07,0.9899839830334187,8.091808492947862,0.9801274966549877,0.1393498366110964,6.991037692619582e-12,-104.0567829701698,-1.6980069204975301e-12,-6.781694516680196e-12,0.9899839830334167,8.091808346877393,0.9801274970102458,0.1393498341123487,0.0,0.0,0.0,0.0,5.52512090662488e-07,-171.92102309683938,-5.470285688714598e-07,-7.764892250814493e-08
2.511886431509579,0.013056208641038994,-140.42408415347643,-0.010063479046862053,-0.008318111176926511,0.015456357209062292,-172.7827271896087,-0.015333894517836143,-0.0019418179858077575,1.0,0.0,1.0,0.0,1.9840147826352874e-06,-172.75100607244127,-1.968156880811081e-06,-2.50346060946327e-07,0.9920072782251782,7.221678304797922,0.9841378923093878,0.12470384505925279,7.74434518219257e-12,-102.71827966283021,-1.7049751168161077e-12,-7.554332674167003e-12,0.9920072782251762,7.221678140904173,0.9841378926660993,0.12470384224414033,0.0,0.0,0.0,0.0,5.536284508679163e-07,-172.79062108039088,-5.492515594742266e-07,-6.947795352152297e-08
2.818382931264452,0.01348051785265421,-144.10729989278678,-0.010920787809847093,-0.007903211700822898,0.015481419773714785,-173.5608494763604,-0.015383755544055407,-0.0017362095411302457,1.0,0.0,1.0,0.0,1.987246903873346e-06,-173.52602230072208,-1.974574562735174e-06,-2.2406595714966412e-07,0.9936233094075203,6.443329069211498,0.987346927110793,0.11150482735212575,8.598707156673943e-12,-101.47448197795688,-1.7105535593364333e-12,-8.42684824159526e-12,0.993623309407518,6.4433288853197,0.9873469274686674,0.11150482418321842,0.0,0.0,0.0,0.0,5.545186753411559e-07,-173.5683368712353,-5.510286272947479e-07,-6.211612676089885e-08
