# artifact_type: raw_data
# circuit_file: 03_cmos_inverter_vtc.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\dc_analysis\03_cmos_inverter_vtc.cir
# analysis_type: dc
# executor: spice
# timestamp: 2026-04-22T10:26:34.802684

Vin,V(out),V(in),I(VIN),V(m1#body diode),V(m1#gate),V(m2#body diode),V(m2#gate),V(vdd),I(VDD)
0.0,5.000000009084763,0.0,0.0,5.0,0.0,2.3399991843190395e-11,0.0,5.0,-7.80664421995425e-12
0.01,4.999999999985202,0.01,-8.673617379884035e-19,5.0,0.009999999999999998,2.3399998436537644e-11,0.009999999999999998,5.0,-7.8053119523247e-12
0.02,4.999999999953666,0.02,-1.734723475976807e-18,5.0,0.019999999999999997,2.3399998436965768e-11,0.019999999999999997,5.0,-7.80575604153455e-12
0.03,4.99999999995362,0.03,0.0,5.000000000000001,0.029999999999999995,2.339999843670562e-11,0.029999999999999995,5.0,-7.80575604153455e-12
0.04,4.999999999953573,0.04,-3.469446951953614e-18,5.000000000000001,0.039999999999999994,2.3399998436704576e-11,0.039999999999999994,5.0,-7.8053119523247e-12
0.05,4.999999999953522,0.05,0.0,5.000000000000001,0.05,2.3399998436704418e-11,0.05,5.0,-7.8062001307444e-12
0.060000000000000005,4.999999999953477,0.060000000000000005,-6.938893903907228e-18,5.000000000000001,0.06,2.339999843670429e-11,0.06,5.0,-7.804423773905e-12
0.07,4.999999999953425,0.07,0.0,5.000000000000001,0.07,2.3399998436704127e-11,0.07,5.0,-7.8062001307444e-12
0.08,4.999999999953373,0.08,-6.938893903907228e-18,5.000000000000001,0.07999999999999999,2.339999843670397e-11,0.07999999999999999,5.0,-7.807976487583801e-12
0.09,4.999999999953325,0.09,0.0,5.000000000000001,0.09,2.339999843670383e-11,0.09,5.0,-7.807532398373951e-12
0.09999999999999999,4.999999999953277,0.09999999999999999,0.0,5.000000000000001,0.09999999999999998,2.3399998436703684e-11,0.09999999999999998,5.0,-7.8062001307444e-12
