# artifact_type: raw_data
# circuit_file: 03_cmos_ring_oscillator.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\comprehensive_circuits\03_cmos_ring_oscillator.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:26:23.875617

Time (s),V(m1n#body diode),V(m1n#gate),V(m1p#body diode),V(m1p#gate),V(m2n#body diode),V(m2n#gate),V(m2p#body diode),V(m2p#gate),V(m3n#body diode),V(m3n#gate),V(m3p#body diode),V(m3p#gate),V(n1),V(n2),V(n3),V(vdd),I(VDD)
2.0000000000000004e-12,1.8315642873757052,1.050793693237142,2.079341505394316,3.1488547210561326,1.7295300425441749,1.044500161631075,1.9822567969398404,3.1431521015927233,1.7295345878179786,1.0176229197575635,1.9822611230460885,3.1155778323263448,1.872783401246403,1.7684256529687625,1.768430301957201,5.0,-5.928756482877392
2.093150343093927e-12,1.8867767312552326,1.087720060638181,2.146520446242181,3.1844277284366274,1.8004233444805602,1.0824359665409864,2.06534320717809,3.179756389820393,1.800428067093393,1.0595290055208637,2.065347698341274,3.15612575715256,1.9299995324958201,1.8412282444961512,1.8412330759525894,5.0,-5.78091265129348
2.27945102928178e-12,1.9849513840275077,1.1533794667066193,2.268456080133695,3.2474389908841315,1.9251263868540716,1.1498032447687303,2.2141991281556423,3.2445140531271117,1.9251314088018163,1.133612532033851,2.214203893097972,3.2275541334639297,2.0322932799771274,1.9698889986155628,1.9698941400267143,5.0,-5.5158194167045576
2.652052401657486e-12,2.1210000775003306,1.2450002648997252,2.4509303010979657,3.3340203100603674,2.09297590874751,1.243471870542214,2.4289696018615965,3.3331940430700464,2.092981291787797,1.2353297089488158,2.4289746728305532,3.3242267479906364,2.1771116792442853,2.1463070340229513,2.1463125593750805,5.0,-5.133221080023184
3.3972551464088984e-12,2.2449632072760783,1.3337320319497588,2.6651158182832915,3.4132497505497685,2.2403227072453435,1.3337107846894174,2.6669538185741493,3.413977624383202,2.2403283552270983,1.3314790702796941,2.6669590352890142,3.4108769050288563,2.3198745888661274,2.312281764715201,2.3122876042280356,5.0,-4.714894167467931
4.836156997815194e-12,2.256275157940804,1.364973553529766,2.846845073739056,3.4270576782623388,2.256735449582632,1.3652850081211325,2.8539365982137834,3.4281547306014857,2.2567411028939777,1.364322040165523,2.8539415756806,3.42630553180992,2.3692188617059275,2.366627047131531,2.366632992431434,5.0,-4.412704476602491
6.426604585204402e-12,2.1768938133850977,1.3452395343027048,2.9543054889637026,3.38856820615288,2.1764912536215917,1.3455009127386486,2.9605220168121766,3.3896490656250537,2.1764968051760643,1.3442944344289294,2.9605266146771525,3.38754733947833,2.332160524475895,2.3286361332955248,2.3286420915436397,5.0,-4.2708732455668
9.134745128816534e-12,2.0380599631758676,1.3090316092704801,3.131340289602462,3.320997469956932,2.037965416696374,1.3093230600350612,3.137724507526485,3.3221718042038897,2.0379708290649163,1.3081537190637087,3.137728494495404,3.3200873032077323,2.2638788907229714,2.260540718223358,2.260546738557777,5.0,-4.040528804910049
1.3679903833059453e-11,1.8132725911638976,1.2495872611892087,3.418302664685595,3.2102534334675688,1.8132296969603419,1.2499005404250003,3.4241632602502188,3.2115523236303103,1.8132347647505167,1.2486816410013153,3.4241661795278358,3.2093854801668122,2.1521627391173013,2.1486978775422583,2.1487039012931306,5.0,-3.669010855181813
2.2770221241545296e-11,1.4079497770592921,1.141555564629011,3.91545572214811,3.007041856785559,1.4083831359715997,1.14194096189967,3.9200397672738276,3.0086146741248374,1.4083893628309037,1.140742273979853,3.9200425670772567,3.006397844125692,1.9491953339532904,1.9459404934821558,1.9459484955057063,5.0,-3.0043255007453094
