# artifact_type: raw_data
# circuit_file: 01_resistor_thermal_noise.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\noise_analysis\01_resistor_thermal_noise.cir
# analysis_type: noise
# executor: spice
# timestamp: 2026-04-22T10:26:42.738430

Frequency (Hz),inoise_spectrum,onoise_spectrum
1.0,1.8207727003181918e-08,9.103863501590959e-09
1.1220184543019633,1.8207727003181918e-08,9.103863501590959e-09
1.258925411794167,1.8207727003181918e-08,9.103863501590959e-09
1.412537544622754,1.8207727003181918e-08,9.103863501590959e-09
1.584893192461113,1.8207727003181918e-08,9.103863501590959e-09
1.778279410038922,1.8207727003181918e-08,9.103863501590959e-09
1.9952623149688786,1.8207727003181918e-08,9.103863501590959e-09
2.2387211385683385,1.8207727003181918e-08,9.103863501590959e-09
2.511886431509579,1.8207727003181918e-08,9.103863501590959e-09
2.818382931264452,1.8207727003181918e-08,9.103863501590959e-09
3.162277660168377,1.8207727003181918e-08,9.103863501590959e-09
3.5481338923357515,1.8207727003181918e-08,9.103863501590959e-09
3.9810717055349687,1.8207727003181918e-08,9.103863501590959e-09
4.4668359215096265,1.8207727003181918e-08,9.103863501590959e-09
5.0118723362727176,1.8207727003181918e-08,9.103863501590959e-09
5.623413251903484,1.8207727003181918e-08,9.103863501590959e-09
6.3095734448019245,1.8207727003181918e-08,9.103863501590959e-09
7.07945784384137,1.8207727003181918e-08,9.103863501590959e-09
7.943282347242804,1.8207727003181918e-08,9.103863501590959e-09
8.912509381337442,1.8207727003181918e-08,9.103863501590959e-09
9.999999999999984,1.8207727003181918e-08,9.103863501590959e-09
11.220184543019615,1.8207727003181918e-08,9.103863501590959e-09
12.58925411794165,1.8207727003181918e-08,9.103863501590959e-09
14.125375446227517,1.8207727003181918e-08,9.103863501590959e-09
15.848931924611104,1.8207727003181918e-08,9.103863501590959e-09
17.782794100389193,1.8207727003181918e-08,9.103863501590959e-09
19.952623149688755,1.8207727003181918e-08,9.103863501590959e-09
22.387211385683347,1.8207727003181918e-08,9.103863501590959e-09
25.118864315095745,1.8207727003181918e-08,9.103863501590959e-09
28.183829312644473,1.8207727003181918e-08,9.103863501590959e-09
31.622776601683718,1.8207727003181918e-08,9.103863501590959e-09
35.481338923357455,1.8207727003181918e-08,9.103863501590959e-09
39.81071705534962,1.8207727003181918e-08,9.103863501590959e-09
44.66835921509619,1.8207727003181918e-08,9.103863501590959e-09
50.11872336272709,1.8207727003181918e-08,9.103863501590959e-09
56.234132519034745,1.8207727003181918e-08,9.103863501590959e-09
63.09573444801914,1.8207727003181918e-08,9.103863501590959e-09
70.79457843841358,1.8207727003181918e-08,9.103863501590959e-09
79.43282347242791,1.8207727003181918e-08,9.103863501590959e-09
89.12509381337428,1.8207727003181918e-08,9.103863501590959e-09
99.99999999999969,1.8207727003181918e-08,9.103863501590959e-09
112.20184543019599,1.8207727003181918e-08,9.103863501590959e-09
125.89254117941631,1.8207727003181918e-08,9.103863501590959e-09
141.25375446227497,1.8207727003181918e-08,9.103863501590959e-09
158.48931924611082,1.8207727003181918e-08,9.103863501590959e-09
177.82794100389168,1.8207727003181918e-08,9.103863501590959e-09
199.52623149688728,1.8207727003181918e-08,9.103863501590959e-09
