bundle_rel_path,bundle_timestamp,circuit_name,circuit_stem,analysis_type,success,duration_ms,metric_row_count,metric_values,artifact_file_count,manifest_error_count,warning_count,error_count,first_error,data_point_count,signal_count,timestamp,x_axis_kind,analysis_command,result_file_path,has_metrics
02_pnp_ce_bias_point/2026-04-22_10-26-50_612296,2026-04-22_10-26-50_612296,02_pnp_ce_bias_point.cir,02_pnp_ce_bias_point,op,True,5.503654479980469,0,{},12,0,0,0,,0,5,2026-04-22T10:26:50.612296,none,.op,E:\Individual Project\circuit_design_ai\TestWork\op_analysis\02_pnp_ce_bias_point.cir,False
02_pnp_ce_bias_point/2026-04-22_15-51-55_931502,2026-04-22_15-51-55_931502,02_pnp_ce_bias_point.cir,02_pnp_ce_bias_point,op,True,2.5069713592529297,0,{},12,0,0,0,,0,5,2026-04-22T15:51:55.931502,none,.op,E:\Individual Project\circuit_design_ai\TestCircuit\op_analysis\02_pnp_ce_bias_point.cir,False
02_pnp_common_emitter/2026-04-22_10-23-57_803956,2026-04-22_10-23-57_803956,02_pnp_common_emitter.cir,02_pnp_common_emitter,ac,True,7.014751434326172,1,"{""av_midband"": 44.61}",10,0,0,0,,161,8,2026-04-22T10:23:57.803956,frequency,.ac dec 20 1 100Meg,E:\Individual Project\circuit_design_ai\TestWork\ac_analysis\02_pnp_common_emitter.cir,True
02_pnp_common_emitter/2026-04-22_15-51-53_576493,2026-04-22_15-51-53_576493,02_pnp_common_emitter.cir,02_pnp_common_emitter,ac,True,3.0031204223632812,1,"{""av_midband"": 44.61}",10,0,0,0,,161,8,2026-04-22T15:51:53.576493,frequency,.ac dec 20 1 100Meg,E:\Individual Project\circuit_design_ai\TestCircuit\ac_analysis\02_pnp_common_emitter.cir,True
02_rlc_underdamped/2026-04-22_10-27-21_728481,2026-04-22_10-27-21_728481,02_rlc_underdamped.cir,02_rlc_underdamped,tran,True,53.25746536254883,2,"{""v_peak"": 8.024243, ""v_final"": 4.999997}",10,0,0,0,,1521,5,2026-04-22T10:27:21.728481,time,.tran 2u 3m,E:\Individual Project\circuit_design_ai\TestWork\transient_analysis\02_rlc_underdamped.cir,True
02_rlc_underdamped/2026-04-22_15-51-56_339381,2026-04-22_15-51-56_339381,02_rlc_underdamped.cir,02_rlc_underdamped,tran,True,6.518840789794922,2,"{""v_peak"": 8.024243, ""v_final"": 4.999997}",10,0,0,0,,1521,5,2026-04-22T15:51:56.339381,time,.tran 2u 3m,E:\Individual Project\circuit_design_ai\TestCircuit\transient_analysis\02_rlc_underdamped.cir,True
02_vccs_transconductor/2026-04-22_10-24-30_221610,2026-04-22_10-24-30_221610,02_vccs_transconductor.cir,02_vccs_transconductor,ac,True,6.661653518676758,1,"{""g_mid"": 19.98289}",10,0,0,0,,121,3,2026-04-22T10:24:30.221610,frequency,.ac dec 20 10 10Meg,E:\Individual Project\circuit_design_ai\TestWork\by_device\controlled_source\02_vccs_transconductor.cir,True
02_vccs_transconductor/2026-04-22_15-51-53_842817,2026-04-22_15-51-53_842817,02_vccs_transconductor.cir,02_vccs_transconductor,ac,True,2.7387142181396484,1,"{""g_mid"": 19.98289}",10,0,0,0,,121,3,2026-04-22T15:51:53.842817,frequency,.ac dec 20 10 10Meg,E:\Individual Project\circuit_design_ai\TestCircuit\by_device\controlled_source\02_vccs_transconductor.cir,True
03_cmos_inverter_vtc/2026-04-22_10-26-34_802684,2026-04-22_10-26-34_802684,03_cmos_inverter_vtc.cir,03_cmos_inverter_vtc,dc,True,9.522199630737305,2,"{""v_th"": 2.03464, ""v_oh"": 5.0}",10,0,0,1,stderr .measure dc v_ol find v(out) at=5 failed!,501,9,2026-04-22T10:26:34.802684,sweep,.dc Vin 0 5 0.01,E:\Individual Project\circuit_design_ai\TestWork\dc_analysis\03_cmos_inverter_vtc.cir,True
03_cmos_inverter_vtc/2026-04-22_15-51-55_755070,2026-04-22_15-51-55_755070,03_cmos_inverter_vtc.cir,03_cmos_inverter_vtc,dc,True,4.004955291748047,2,"{""v_th"": 2.03464, ""v_oh"": 5.0}",10,0,0,1,stderr .measure dc v_ol find v(out) at=5 failed!,501,9,2026-04-22T15:51:55.755070,sweep,.dc Vin 0 5 0.01,E:\Individual Project\circuit_design_ai\TestCircuit\dc_analysis\03_cmos_inverter_vtc.cir,True
