# artifact_type: raw_data
# circuit_file: 06_njf_source_follower.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\transient_analysis\06_njf_source_follower.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:27:29.543802

Time (s),V(in),I(VIN),V(gate),V(sfollow),V(vdd),I(VDD)
0.0,0.0,0.0,1.2465288258869147e-05,2.398173246819941,10.0,-0.0004796346618292091
1e-07,6.283184893762572e-05,-4.5740762859205336e-10,7.5297091455732e-05,2.3982290869766802,10.0,-0.0004796454352842261
2e-07,0.00012566367307023256,-5.209085099031063e-10,0.00013812886349748787,2.3982848762587183,10.0,-0.00047965659247140024
4e-07,0.0002513271477003727,-6.465815023150301e-10,0.0002637922213786268,2.398396454063655,10.0,-0.00047967890802169677
8e-07,0.0005026527078818863,-8.978931886199915e-10,0.0005151174726652022,2.39861960921487,10.0,-0.0004797235390689991
1.6e-06,0.0010052927156730654,-1.4005289913909813e-09,0.0010177565610875092,2.3990659128264094,10.0,-0.0004798127997940327
3.2e-06,0.002010483832545758,-2.4056518300834273e-09,0.002022944633015545,2.3999584537350933,10.0,-0.0004799913080422158
6.4e-06,0.00402015493629532,-4.4151003968269376e-09,0.004032604823561544,2.4017429546108016,10.0,-0.00048034820842524084
1.28e-05,0.008033810013339422,-8.427813622327585e-09,0.008046218803280786,2.40530710753284,10.0,-0.00048106103990797067
2.28e-05,0.01427671311474489,-1.4667934644229524e-08,0.014289006425944923,2.4108513788965573,10.0,-0.0004821698968537902
3.28e-05,0.020463272551896266,-2.084990678632298e-08,0.020475388273889145,2.4163462466452117,10.0,-0.000483268874813092
4.28e-05,0.02656907280106526,-2.6949729925972166e-08,0.026580949524874574,2.421770000204894,10.0,-0.0004843536312613139
5.2799999999999996e-05,0.032570017058143205,-3.2942933461850565e-08,0.03258159431863558,2.427101202031622,10.0,-0.0004854198790660291
6.28e-05,0.038442422337718066,-3.880626216375138e-08,0.03845364085223232,2.4323187730371183,10.0,-0.0004864634019856595
7.28e-05,0.044163112938998134,-4.451617882823833e-08,0.04417391484130743,2.4374020761539934,10.0,-0.00048748007296417484
8.28e-05,0.049709511909715086,-5.0050546153770914e-08,0.049719840978399474,2.4423309987835053,10.0,-0.0004884658690489374
9.279999999999999e-05,0.055059730147040145,-5.538712526120815e-08,0.05506953202736746,2.447086032723413,10.0,-0.0004894168889482131
0.00010279999999999999,0.06019265278387284,-6.050525218695424e-08,0.06020187520231291,2.451648352306147,10.0,-0.0004903293670857067
0.00011279999999999999,0.06508802251957485,-6.538433084193884e-08,0.06509661549009978,2.4559998893687003,10.0,-0.0004911996901562077
0.0001228,0.06972651956628108,-7.000550273847383e-08,0.0697344355876381,2.4601234057984844,10.0,-0.0004920244100912186
0.0001328,0.07408983789527589,-7.43501331317703e-08,0.07409703213845356,2.464002562299451,10.0,-0.0004928002593569403
0.0001428,0.07816075748252525,-7.840147272716869e-08,0.07816718796767363,2.4676219841475295,10.0,-0.0004935241625467768
0.0001528,0.08192321226824456,-8.214313573090548e-08,0.08192884003035064,2.470967322605623,10.0,-0.0004941932502244839
0.0001628,0.08536235356229667,-8.556075243790207e-08,0.0853671428049619,2.4740253127935627,10.0,-0.0004948048689499274
0.0001728,0.08846460864518817,-8.864043817349843e-08,0.08846852688190034,2.4767838267223197,10.0,-0.0004953565934311399
0.0001828,0.09121773433339238,-9.137043571749714e-08,0.09122075251573508,2.4792319223150066,10.0,-0.0004958462347790515
0.0001928,0.09361086529760149,-9.373957420705237e-08,0.09361295792989455,2.4813598871631815,10.0,-0.0004962718508156883
0.0002028,0.09563455694321728,-9.573890059205725e-08,0.09563570218313634,2.4831592778819433,10.0,-0.0004966317523766861
0.0002128,0.09728082268385127,-9.736012773070568e-08,0.09728100242862874,2.4846229538444633,10.0,-0.0004969245116459575
0.0002228,0.09854316546073248,-9.85972541840685e-08,0.09854236541860037,2.485745106212157,10.0,-0.0004971489663532225
0.0002328,0.09941660338363008,-9.944500096656372e-08,0.0994148131302222,2.4865212810781934,10.0,-0.000497304226028561
0.0002428,0.09989768939209825,-9.990041915930448e-08,0.09989490241158974,2.486948397683347,10.0,-0.0004973896740221306
0.00025279999999999996,0.09998452485944886,-9.996131488179683e-08,0.09998073857027014,2.487024760571056,10.0,-0.0004974049715400497
0.0002628,0.09967676708576362,-9.962784450548434e-08,0.09967198285078795,2.4867500666894125,10.0,-0.0004973500574738665
0.0002728,0.0989756306503741,-9.890092762462888e-08,0.09896985377153779,2.486125406346565,10.0,-0.0004972251501946801
0.00028280000000000004,0.09788388261847203,-9.778382965147658e-08,0.09787712231584936,2.4851532590805006,10.0,-0.0004970307451088729
0.00029280000000000007,0.09640583162076707,-9.628056285571063e-08,0.09639810099618187,2.483837483397779,10.0,-0.0004967676142175748
0.0003028000000000001,0.09454731084928994,-9.439745646613873e-08,0.09453862683460813,2.4821833014835875,10.0,-0.0004964368014679366
0.0003128000000000001,0.09231565503644823,-9.214154590708734e-08,0.09230603832675455,2.4801972778920423,10.0,-0.0004960396200690553
0.00032280000000000015,0.08971967150818871,-8.952213065294146e-08,0.08970914648011222,2.4778872933623277,10.0,-0.0004955776456885275
0.0003328000000000002,0.08676960542550534,-8.654915202577218e-08,0.08675820004101546,2.475262512813639,10.0,-0.0004950527116118764
0.0003428000000000002,0.08347709935146946,-8.323473935437087e-08,0.08346484504752269,2.4723333487163637,10.0,-0.0004944668998465573
0.00035280000000000023,0.07985514730335243,-7.95915768431188e-08,0.07984207886782466,2.4691114189259156,10.0,-0.0004938225342900893
0.00036280000000000025,0.07591804347117559,-7.563443862011743e-08,0.0759041989055705,2.465609500231113,10.0,-0.0004931221698036836
0.0003728000000000003,0.07168132580507286,-7.137854548741607e-08,0.07166674617454723,2.4618414767365757,10.0,-0.0004923685835453995
0.0003828000000000003,0.06716171469410027,-6.684108963539437e-08,0.06714644396539902,2.4578222843660713,10.0,-0.0004915647622247832
0.00039280000000000033,0.06237704697849888,-6.203958215732219e-08,0.06236113184643866,2.453567850662512,10.0,-0.0004907138916827591
0.00040280000000000036,0.057346205555835354,-5.699336844827707e-08,0.057329695259022116,2.449095031183126,10.0,-0.0004898193425617592
