# artifact_type: raw_data
# circuit_file: 01_two_stage_bjt_ce_amplifier.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\comprehensive_circuits\01_two_stage_bjt_ce_amplifier.cir
# analysis_type: ac
# executor: spice
# timestamp: 2026-04-22T10:26:20.025230

Frequency (Hz),V(out)_mag,V(out)_phase,V(out)_real,V(out)_imag,V(in)_mag,V(in)_phase,V(in)_real,V(in)_imag,I(VIN)_mag,I(VIN)_phase,I(VIN)_real,I(VIN)_imag,V(b1)_mag,V(b1)_phase,V(b1)_real,V(b1)_imag,V(b2)_mag,V(b2)_phase,V(b2)_real,V(b2)_imag,V(c1)_mag,V(c1)_phase,V(c1)_real,V(c1)_imag,V(c2)_mag,V(c2)_phase,V(c2)_real,V(c2)_imag,V(e1)_mag,V(e1)_phase,V(e1)_real,V(e1)_imag,V(e2)_mag,V(e2)_phase,V(e2)_real,V(e2)_imag,V(vdd)_mag,V(vdd)_phase,V(vdd)_real,V(vdd)_imag,I(VDD)_mag,I(VDD)_phase,I(VDD)_real,I(VDD)_imag
1.0,0.022833164401507133,-101.90073068617873,-0.004708578995715652,-0.022342396479056538,1.0,0.0,1.0,0.0,6.269479731234783e-06,-93.5472187974819,-3.8789963898955427e-07,-6.2574683355519705e-06,0.061871674510367146,86.20695505832093,0.004092983155888964,0.06173614496874926,0.01762134344791078,-1.586244099210732,0.017614590769695185,-0.0004877877872572462,0.2848020979016978,-87.79301472110188,0.01096762485323598,-0.28459083993390744,0.0806203467993788,-175.44834842222215,-0.08036608623317963,-0.006397851327847636,0.060364182986923844,86.01786329090541,0.004192018248685042,0.06021844875685123,0.01719212583936961,-1.775449426510315,0.017183872376896246,-0.0005326546829442363,0.0,0.0,0.0,0.0,6.269876680514206e-05,-103.32119087593318,-1.4446401052521659e-05,-6.101177636747914e-05
1.1220184543019633,0.03196110371129965,-103.20912390815838,-0.007303300835601628,-0.031115493686412126,1.0,0.0,1.0,0.0,7.030506884623289e-06,-93.97842161125158,-4.877819972285743e-07,-7.013565126090665e-06,0.06938157619712808,85.74576232769094,0.005146881288413834,0.06919040922411765,0.02219955674606622,-1.7878513326660987,0.0221887499586439,-0.0006926001693578639,0.31995970047218775,-87.53335916923052,0.013770331782360647,-0.3196632413788858,0.10161646505526961,-174.876873129871,-0.10121051774133033,-0.009073977565582293,0.06769098514798706,85.53360033638559,0.005271398479223717,0.06748541937617519,0.021658821031032865,-2.0001701054991536,0.021645624818228407,-0.000755946216873869,0.0,0.0,0.0,0.0,7.129938131636354e-05,-104.7910034449223,-1.8202300307724553e-05,-6.893676841572733e-05
1.258925411794167,0.04465011510523535,-104.62521181609316,-0.011273937694933407,-0.043203369171414464,1.0,0.0,1.0,0.0,7.882768522005607e-06,-94.46157300940216,-6.132042532472622e-07,-7.858881607157721e-06,0.07779160278145555,85.22896389761824,0.006470245786387277,0.07752205739511499,0.02797199217860017,-2.017270561875383,0.027954656870043993,-0.0009846348144217198,0.3595710786075348,-87.24588514716288,0.017277341217422783,-0.359155751800584,0.12813182901544065,-174.23144187107786,-0.127482971368244,-0.01287857204683806,0.07589591591442364,84.99091768830826,0.006626749794726844,0.07560605954318313,0.027290644987143602,-2.2555321215907016,0.027269501311625224,-0.001074058671384652,0.0,0.0,0.0,0.0,8.133334276457667e-05,-106.38383311894836,-2.2941757846591406e-05,-7.803068878440376e-05
1.412537544622754,0.06223406466666258,-106.14556708924701,-0.01730596587444825,-0.05977944755588472,1.0,0.0,1.0,0.0,8.836735000657759e-06,-95.00273964007603,-7.705931287127495e-07,-8.803071719680044e-06,0.08720497767124664,84.6500477776589,0.00813087488323756,0.08682509432344869,0.035252707644580814,-2.279137264146545,0.035224820701147755,-0.0014019282600328847,0.4042444162407411,-86.92870855557439,0.0216588016185373,-0.4036637763959832,0.16165343920555697,-173.50279054079766,-0.16061519864780074,-0.01829186623371748,0.0850796554335083,84.38296039659622,0.008327500811542722,0.08467113143756999,0.034394000325076404,-2.5465186642234707,0.03436003547784422,-0.0015281427690640127,0.0,0.0,0.0,0.0,9.312827383417805e-05,-108.09666499260683,-2.8927607098696197e-05,-8.852157327384729e-05
1.584893192461113,0.08651591891019955,-107.76244006330101,-0.02639350447975153,-0.08239166915503995,1.0,0.0,1.0,0.0,9.903887623196268e-06,-95.60861829195106,-9.6793267110414e-07,-9.856474846369236e-06,0.09773485741310607,84.00181785197104,0.010212990551990396,0.09719977971963274,0.04443961851698134,-2.579103940368038,0.0443946032927228,-0.001999723084978592,0.45468667322982304,-86.58027654434514,0.0271220615931818,-0.4538770368588166,0.20409396065235982,-172.68123165317715,-0.20243115957882132,-0.025999430884940066,0.09535256337890818,83.70214769378117,0.01045989520397126,0.09477711714992519,0.04335709913880577,-2.8791727124228745,0.0433023686910163,-0.002177822646480599,0.0,0.0,0.0,0.0,0.00010711106444375239,-109.9218122960492,-3.649675523139342e-05,-0.00010070137528283035
1.778279410038922,0.11992001086237009,-109.46311088630296,-0.03995733360057273,-0.11306732727345908,1.0,0.0,1.0,0.0,1.1096736902815918e-05,-96.2865689837348,-1.2151072083625622e-06,-1.1030008357317865e-05,0.1095044944444527,83.27635433929686,0.012820852278983526,0.10875136803909943,0.05603742276133306,-2.9241073686341563,0.055964461008752596,-0.002858645436597365,0.5117242165458885,-86.19959521031193,0.03391756709744632,-0.5105989350181742,0.25792951237107015,-171.75720759115865,-0.2552649534408118,-0.036978870951371916,0.10683483313806193,82.94012842494483,0.013130689420143261,0.10602483938676481,0.054672325030429805,-3.260869365851849,0.05458380493872177,-0.0031098814518458317,0.0,0.0,0.0,0.0,0.00012384223291471018,-111.8461576189768,-4.608363985887513e-05,-0.00011494867024310818
1.9952623149688786,0.1656921960961341,-111.22963865714645,-0.059998271818570995,-0.15444776212669648,1.0,0.0,1.0,0.0,1.2428803394567766e-05,-97.04463524796427,-1.5242999130556858e-06,-1.2334977243427637e-05,0.1226470236204234,82.46498632084835,0.01608295486291967,0.12158795567746825,0.07068692456734231,-3.322698741976642,0.07056809512930994,-0.0040969811580973976,0.5763284252217892,-85.78653241000416,0.0423443580258177,-0.5747707447861354,0.326390296158345,-170.72218178359293,-0.3221205257317979,-0.05262121557511091,0.11965627719498756,82.08774795039885,0.016471446619213556,0.11851715537606401,0.06896483420965718,-3.700651576142649,0.06882103455362458,-0.004451242583179977,0.0,0.0,0.0,0.0,0.0001440625467083657,-113.85078095741714,-5.8252564045817185e-05,-0.0001317598426918764
2.2387211385683385,0.22816642951246352,-113.03926351125018,-0.08929563322466336,-0.2099671627742595,1.0,0.0,1.0,0.0,1.3914542881122383e-05,-97.89154400771953,-1.910443921818413e-06,-1.3782768503177463e-05,0.13730469029744377,81.55828386301306,0.02015677657165435,0.1358170914720138,0.08920247312332102,-3.7854393952565677,0.08900785815118875,-0.005889176398671554,0.6496471886798011,-85.34220594609853,0.05275416518227833,-0.6475017125965692,0.4137268047225324,-169.56993130743234,-0.40689063096591044,-0.07489915472206465,0.13395556531881211,81.13503397969768,0.02064339133280444,0.13235536964612818,0.0870290680565451,-4.209632046098135,0.08679427677155752,-0.0063884431979187,0.0,0.0,0.0,0.0,0.00016875632110544757,-115.91123242809755,-7.37428219339475e-05,-0.0001517916075620225
2.511886431509579,0.3131263420664447,-114.86570168760704,-0.1316673612614295,-0.2840982437016539,1.0,0.0,1.0,0.0,1.5569191785239273e-05,-98.8366746817088,-2.3917137693917246e-06,-1.538438942860145e-05,0.15362727855960837,80.54608001930316,0.02523394636869214,0.1515407162062179,0.11261954822656461,-4.325354399960182,0.11229879158922915,-0.008493765381406932,0.7330430644729596,-84.86945967730335,0.0655525249735649,-0.7301061572411904,0.5255837535843833,-168.29825231388108,-0.5146603491138769,-0.10659740654364896,0.14987867923616174,80.07121154443082,0.0258426888860754,0.14763391859838235,0.1098751554971886,-4.8014536763662266,0.10948957455868447,-0.009196893958812846,0.0,0.0,0.0,0.0,0.00019923749324647793,-117.99869024657845,-9.353231593597932e-05,-0.00017591840321806154
2.818382931264452,0.42830516071082275,-116.68147466415469,-0.1923219190196105,-0.38269777913666825,1.0,0.0,1.0,0.0,1.7408501816422133e-05,-99.88998374514944,-2.9900300299630364e-06,-1.7149800462754428e-05,0.1717694294231881,79.41753639762211,0.03154554109420555,0.1688479070685846,0.14225473740725803,-4.958417783015124,0.14172237589853573,-0.012295466013212854,0.8281384171560402,-84.3734149322424,0.08119455925742126,-0.8241484584203896,0.6695263571283427,-166.91100302257146,-0.6521317110048249,-0.1516237923001157,0.1675762801806508,78.88476070801758,0.0323058512913221,0.16443278764141586,0.13878738911215285,-5.492782464262636,0.1381501140801186,-0.013284779118161774,0.0,0.0,0.0,0.0,0.00023726691163448478,-120.08214575425411,-0.00011892793213065571,-0.00020530887539434956
3.162277660168377,0.5840872114618639,-118.46122136137336,-0.27835485284679745,-0.5134943490340803,1.0,0.0,1.0,0.0,1.9448325615489498e-05,-101.0618669975374,-3.731527444146673e-06,-1.9086986985370037e-05,0.19188646617189742,78.16126994757856,0.03936698357772691,0.1878048362101725,0.17978028173662092,-5.7040141365837735,0.17889011930134996,-0.017868265658635373,0.93686697403716,-83.86205955703713,0.10017214432968749,-0.9314962525646235,0.8557796784891185,-165.42029876992024,-0.8282222146976859,-0.2154224250077024,0.1871996145718657,77.56353456523242,0.04031472470588158,0.18280705311268505,0.17539688955801647,-6.303777813321492,0.1743363904898894,-0.019258551803908654,0.0,0.0,0.0,0.0,0.0002852124664745823,-122.13157080934322,-0.00015169460701343,-0.00024152618333331022
