# artifact_type: raw_data
# circuit_file: 01_inverting_amplifier_subckt.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\by_device\subcircuit\01_inverting_amplifier_subckt.cir
# analysis_type: ac
# executor: spice
# timestamp: 2026-04-22T10:24:56.328460

Frequency (Hz),V(out)_mag,V(out)_phase,V(out)_real,V(out)_imag,V(in)_mag,V(in)_phase,V(in)_real,V(in)_imag,V(inv)_mag,V(inv)_phase,V(inv)_real,V(inv)_imag,I(VIN)_mag,I(VIN)_phase,I(VIN)_real,I(VIN)_imag,I(E.XOPAMP.EOPAMP)_mag,I(E.XOPAMP.EOPAMP)_phase,I(E.XOPAMP.EOPAMP)_real,I(E.XOPAMP.EOPAMP)_imag
1.0,9.999890001209987,180.0,-9.999890001209987,0.0,1.0,0.0,1.0,0.0,9.999890001209988e-06,0.0,9.999890001209988e-06,0.0,0.000999990000109999,180.0,-0.000999990000109999,0.0,0.0019999790002309978,0.0,0.0019999790002309978,0.0
1.1220184543019633,9.999890001209987,180.0,-9.999890001209987,0.0,1.0,0.0,1.0,0.0,9.999890001209988e-06,0.0,9.999890001209988e-06,0.0,0.000999990000109999,180.0,-0.000999990000109999,0.0,0.0019999790002309978,0.0,0.0019999790002309978,0.0
1.258925411794167,9.999890001209987,180.0,-9.999890001209987,0.0,1.0,0.0,1.0,0.0,9.999890001209988e-06,0.0,9.999890001209988e-06,0.0,0.000999990000109999,180.0,-0.000999990000109999,0.0,0.0019999790002309978,0.0,0.0019999790002309978,0.0
1.412537544622754,9.999890001209987,180.0,-9.999890001209987,0.0,1.0,0.0,1.0,0.0,9.999890001209988e-06,0.0,9.999890001209988e-06,0.0,0.000999990000109999,180.0,-0.000999990000109999,0.0,0.0019999790002309978,0.0,0.0019999790002309978,0.0
1.584893192461113,9.999890001209987,180.0,-9.999890001209987,0.0,1.0,0.0,1.0,0.0,9.999890001209988e-06,0.0,9.999890001209988e-06,0.0,0.000999990000109999,180.0,-0.000999990000109999,0.0,0.0019999790002309978,0.0,0.0019999790002309978,0.0
1.778279410038922,9.999890001209987,180.0,-9.999890001209987,0.0,1.0,0.0,1.0,0.0,9.999890001209988e-06,0.0,9.999890001209988e-06,0.0,0.000999990000109999,180.0,-0.000999990000109999,0.0,0.0019999790002309978,0.0,0.0019999790002309978,0.0
1.9952623149688786,9.999890001209987,180.0,-9.999890001209987,0.0,1.0,0.0,1.0,0.0,9.999890001209988e-06,0.0,9.999890001209988e-06,0.0,0.000999990000109999,180.0,-0.000999990000109999,0.0,0.0019999790002309978,0.0,0.0019999790002309978,0.0
2.2387211385683385,9.999890001209987,180.0,-9.999890001209987,0.0,1.0,0.0,1.0,0.0,9.999890001209988e-06,0.0,9.999890001209988e-06,0.0,0.000999990000109999,180.0,-0.000999990000109999,0.0,0.0019999790002309978,0.0,0.0019999790002309978,0.0
2.511886431509579,9.999890001209987,180.0,-9.999890001209987,0.0,1.0,0.0,1.0,0.0,9.999890001209988e-06,0.0,9.999890001209988e-06,0.0,0.000999990000109999,180.0,-0.000999990000109999,0.0,0.0019999790002309978,0.0,0.0019999790002309978,0.0
2.818382931264452,9.999890001209987,180.0,-9.999890001209987,0.0,1.0,0.0,1.0,0.0,9.999890001209988e-06,0.0,9.999890001209988e-06,0.0,0.000999990000109999,180.0,-0.000999990000109999,0.0,0.0019999790002309978,0.0,0.0019999790002309978,0.0
3.162277660168377,9.999890001209987,180.0,-9.999890001209987,0.0,1.0,0.0,1.0,0.0,9.999890001209988e-06,0.0,9.999890001209988e-06,0.0,0.000999990000109999,180.0,-0.000999990000109999,0.0,0.0019999790002309978,0.0,0.0019999790002309978,0.0
3.5481338923357515,9.999890001209987,180.0,-9.999890001209987,0.0,1.0,0.0,1.0,0.0,9.999890001209988e-06,0.0,9.999890001209988e-06,0.0,0.000999990000109999,180.0,-0.000999990000109999,0.0,0.0019999790002309978,0.0,0.0019999790002309978,0.0
