# artifact_type: raw_data
# circuit_file: 02_cmos_nand_gate.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\by_device\mosfet\02_cmos_nand_gate.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:24:47.370353

Time (s),V(out),V(a),V(b),V(mid),V(mna#body diode),V(mna#gate),V(mnb#body diode),V(mnb#gate),V(mpa#body diode),V(mpa#gate),V(mpb#body diode),V(mpb#gate),V(vdd),I(VA),I(VB),I(VDD)
0.0,4.999999999984297,0.0,0.0,2.500023345509762,2.5000233455256615,0.0,1.59001166461239e-11,0.0,5.000000000000001,0.0,5.000000000000001,0.0,5.0,0.0,0.0,-5.29953059296738e-12
1e-10,5.003487423557648,0.01,0.01,2.5049592430302265,2.504514471474181,0.006802890760880587,0.0015156200528891883,0.004846876416591317,5.000804790055867,0.005674791205252827,5.000804790055867,0.005674791205253271,5.0,-0.0025074393446221956,-0.0031594441260518044,0.0032562783160676886
1.0952095926105172e-10,5.003832877612211,0.01095209592610517,0.01095209592610517,2.505448059320339,2.5049639277469087,0.00747137934087827,0.0016497756106588213,0.005320516714546475,5.000873511068193,0.006235988657418812,5.000873511068193,0.006235988657416591,5.0,-0.002732274617971086,-0.003449228826749091,0.0035561803789912073
1.2856287778315516e-10,5.004539731666848,0.012856287778315515,0.012856287778315515,2.50645747753039,2.505895503041574,0.008842508887787814,0.0018967209413025543,0.006289721126224279,5.000990117713554,0.007394749174151727,5.000990117713554,0.007394749174147286,5.0,-0.0031584391648971626,-0.0040093684187531555,0.0041306939889878165
1.6664671482736201e-10,5.00600082985995,0.0166646714827362,0.0166646714827362,2.5086332506887237,2.5079091225650405,0.011748710931993145,0.002277355472920517,0.008344784091681268,5.0011171745243965,0.009894200780769413,5.0011171745243965,0.009894200780764084,5.0,-0.003895477084236614,-0.005030119364342349,0.005148882014516485
2.4281438891577573e-10,5.008881748152954,0.02428143889157757,0.02428143889157757,2.513415041948388,2.512337680762769,0.017992801300185213,0.0027408470662009243,0.012835871110521424,5.001141765760653,0.015411472891231348,5.001141765760653,0.015411472891235345,5.0,-0.005052867863912859,-0.006771844593799457,0.0068298638482857926
3.951497370926032e-10,5.013860597358676,0.03951497370926032,0.03951497370926032,2.5239554750862125,2.522193263561782,0.03144803533522489,0.0031433438613465148,0.023012932810765996,5.000919941213272,0.027720697714137987,5.000919941213272,0.027720697714138876,5.0,-0.006620404789719255,-0.009432105631205254,0.009309941466217256
6.238832936627774e-10,5.019086311740311,0.06238832936627773,0.06238832936627773,2.540991370169943,2.5384651356586208,0.05288904569062414,0.0033491790432512714,0.040547058751301934,5.000559546895707,0.04796611563158448,5.000559546895707,0.04796611563158715,5.0,-0.007973832470115613,-0.012087828116555458,0.011664740468077464
1.0813504068031256e-09,5.02425490484921,0.10813504068031254,0.10813504068031254,2.5767064543444977,2.5734310679396137,0.09752374435195177,0.0034863682678354935,0.08049955892713145,5.000176673732867,0.09125593587129965,5.000176673732867,0.09125593587130121,5.0,-0.009163467045791227,-0.014838195520730811,0.013895660250907329
1.7906188132804323e-09,5.026486603179225,0.1790618813280432,0.1790618813280432,2.633529270193314,2.629943700603917,0.16817558559474055,0.0035048641438968353,0.14843108439307443,5.000025696257758,0.1612072824346995,5.000025696257758,0.16120728243469906,5.0,-0.009580298208882121,-0.016161798609437644,0.014775794015781612
2.4416735185273123e-09,5.026921681949901,0.2441673518527312,0.2441673518527312,2.6860469583110644,2.6824075097392437,0.2332928014706082,0.0034835869742813053,0.21298759812444723,5.000014917946454,0.2262285436802841,5.000014917946454,0.22622854368028378,5.0,-0.009604452851523337,-0.016372853966910447,0.014863065578213437
3.505942233910743e-09,5.027468987536598,0.35059422339107427,0.35059422339107427,2.7719318585474824,2.768245380757521,0.33966452029966415,0.0034395323395833566,0.3192353218753856,5.000016303634592,0.33265188505080256,5.000016303634592,0.3326518850508028,5.0,-0.009624013810560605,-0.016433746618653378,0.014909157873364727
