# artifact_type: raw_data
# circuit_file: 01_diode_clipper.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\by_device\diode\01_diode_clipper.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:24:33.030093

Time (s),V(out),V(in),I(VIN),V(vneg),V(vpos),I(VNEG),I(VPOS)
0.0,-4.03250548619601e-22,0.0,-4.03250548619601e-25,-0.7000000000000001,0.7000000000000001,2.519781272525279e-09,-2.5197809856014437e-09
1e-07,0.0017539368462815182,0.0018849554681287716,-1.3101862184725338e-07,-0.7000000000000001,0.7000000000000001,5.925940782525174e-08,5.421984570639425e-08
2e-07,0.003613462552174578,0.0037699101921069766,-1.564476399323982e-07,-0.7000000000000001,0.7000000000000001,6.263834517739042e-08,5.7674669137400995e-08
4e-07,0.007345225858782747,0.00753981443101118,-1.945885722284332e-07,-0.7000000000000001,0.7000000000000001,6.297027943524824e-08,5.816603389165817e-08
8e-07,0.014811079751847214,0.015079581236456587,-2.685014846093724e-07,-0.7000000000000001,0.7000000000000001,6.251799233858435e-08,5.7872694656316656e-08
1.6e-06,0.02974027380133866,0.030158781470191957,-4.1850766885329736e-07,-0.7000000000000001,0.7000000000000001,6.263645291326725e-08,5.8468477854371906e-08
3.2e-06,0.05959811077804734,0.06031451497637273,-7.164041983253951e-07,-0.7000000000000001,0.7000000000000001,6.189750578755593e-08,5.8525584747384395e-08
6.4e-06,0.1192905841269477,0.1206046480888596,-1.3140639619119062e-06,-0.7000000000000001,0.7000000000000001,6.138800179300574e-08,5.977011900502044e-08
1.28e-05,0.23850853924884516,0.24101430040018268,-2.505761151337519e-06,-0.7000000000000001,0.7000000000000001,5.945881031976796e-08,6.121694856877067e-08
2.28e-05,0.42394000227566214,0.42830139344234675,-4.361391166684582e-06,-0.7000000000000001,0.7000000000000001,5.733455865630788e-08,6.465658527058928e-08
3.28e-05,0.6076984123142036,0.6138981765568879,-6.199764242684246e-06,-0.7000000000000001,0.7000000000000001,5.466075214677346e-08,6.81193673597867e-08
4.28e-05,0.7890388816106884,0.7970721840319577,-8.033302421269297e-06,-0.7000000000000001,0.7000000000000001,5.263526881016389e-08,9.027833651308087e-08
5.2799999999999996e-05,0.9664063791333516,0.9771005117442961,-1.0694132610944472e-05,-0.7000000000000001,0.7000000000000001,4.957470767230632e-08,9.80494111814023e-07
6.28e-05,1.1169522167611001,1.1532726701315419,-3.6320453370441725e-05,-0.7000000000000001,0.7000000000000001,3.5929143882285075e-08,2.5115002058771047e-05
7.28e-05,1.1893955758917036,1.3248933881699438,-0.00013549781227824016,-0.7000000000000001,0.7000000000000001,7.21790871516248e-09,0.00012359663861096328
8.28e-05,1.2226201077844314,1.4912853572914524,-0.0002686652495070209,-0.7000000000000001,0.7000000000000001,1.5173182266181584e-08,0.0002564238752471911
