# artifact_type: raw_data
# circuit_file: 04_npn_pulse_switch.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\transient_analysis\04_npn_pulse_switch.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:27:25.647033

Time (s),V(in),I(VIN),V(base),V(col),V(vdd),I(VDD)
0.0,0.0,5.0024998892136675e-12,5.0024998892136676e-08,4.999999989994664,5.0,-1.0005335969454077e-11
5e-10,0.024999999999999998,-2.480251441055967e-06,0.00019748558944032734,5.000118737828835,5.0,1.1873782883482786e-07
6.240323408963533e-10,0.031201617044817664,-3.094621300095587e-06,0.00025540404386179515,5.000154954467027,5.0,1.5495446702758903e-07
8.7209702268906e-10,0.043604851134453,-4.32159462643274e-06,0.00038890487012560056,5.000239925569271,5.0,2.3992556927050074e-07
1.3682263862744734e-09,0.06841131931372367,-6.765176973010146e-06,0.0007595495836222081,5.000474857299548,5.0,4.7485729954849926e-07
2.3604851134453e-09,0.11802425567226497,-1.1612738577543466e-05,0.0018968698968303268,5.0011262330734265,5.0,1.1262330734266093e-06
4.3450025677869526e-09,0.21725012838934762,-2.1158808888027987e-05,0.005662039509067742,5.002795250676678,5.0,2.7952506766780807e-06
8.31403747647026e-09,0.4157018738235129,-3.96935765161804e-05,0.018766108661709018,5.0064995677758155,5.0,6.499567775815167e-06
1.625210729383687e-08,0.8126053646918434,-7.471729751862684e-05,0.06543238950557512,5.01355666111316,5.0,1.3556661113160381e-05
3.21282469285701e-08,1.6064123464285047,-0.00013790447792435696,0.2273675671849351,5.0250936290285555,5.0,2.5093629028555275e-05
6.388052619803656e-08,3.1940263099018273,-0.0002554588757778638,0.6394375521231893,4.619910471183043,5.0,-0.00038008952881695736
9.055276769221095e-08,4.527638384610547,-0.0003832375131030877,0.6952632535796694,1.9772258308059194,5.0,-0.003022774169194081
1.0000000000000001e-07,5.0,-0.00042974664638935985,0.7025335361064018,0.9403660292214719,5.0,-0.004059633970778528
1.0277725686198792e-07,5.0,-0.0004295546624479481,0.7044533755205195,0.676851092542074,5.0,-0.004323148907457926
1.0833177058596374e-07,5.0,-0.00042929536127808265,0.7070463872191739,0.24494089205882674,5.0,-0.004755059107941173
1.1944079803391538e-07,5.0,-0.000429221659074318,0.7077834092568203,0.15105930296922687,5.0,-0.004848940697030773
1.416588529298187e-07,5.0,-0.0004292001911192063,0.7079980888079367,0.1215675868532804,5.0,-0.004878432413146719
1.6993672396673622e-07,5.0,-0.000429160670406265,0.7083932959373502,0.10596987623378026,5.0,-0.00489403012376622
2.1993672396673622e-07,5.0,-0.00042912756255628656,0.7087243744371348,0.09127671163300433,5.0,-0.0049087232883669955
2.6993672396673624e-07,5.0,-0.0004290808428428051,0.7091915715719496,0.08269112110975366,5.0,-0.004917308878890247
3.1993672396673624e-07,5.0,-0.0004290556001228919,0.7094439987710811,0.07653401525761055,5.0,-0.004923465984742389
3.6993672396673624e-07,5.0,-0.00042901569393165897,0.7098430606834105,0.07199567221893469,5.0,-0.004928004327781065
4.1993672396673624e-07,5.0,-0.0004289940875437386,0.7100591245626139,0.06823477936950853,5.0,-0.004931765220630492
4.6993672396673623e-07,5.0,-0.00042895893691698086,0.7104106308301914,0.06532531144593205,5.0,-0.004934674688554068
5.199367239667363e-07,5.0,-0.00042894084327508154,0.7105915672491846,0.06275279412492102,5.0,-0.004937247205875079
5.699367239667363e-07,5.0,-0.0004289098683998291,0.7109013160017092,0.06069924355056116,5.0,-0.004939300756449439
6.199367239667364e-07,5.0,-0.00042889436661045584,0.7110563338954415,0.05879190770677587,5.0,-0.004941208092293224
6.699367239667364e-07,5.0,-0.0004288668050322533,0.7113319496774675,0.05725196744242845,5.0,-0.0049427480325575715
7.199367239667365e-07,5.0,-0.0004288533974370817,0.7114660256291828,0.05576973813963259,5.0,-0.004944230261860368
7.699367239667365e-07,5.0,-0.0004288287465772804,0.7117125342271966,0.054570277541202306,5.0,-0.004945429722458798
8.199367239667366e-07,5.0,-0.0004288171009865012,0.7118289901349883,0.05338202673651063,5.0,-0.004946617973263489
8.699367239667366e-07,5.0,-0.0004287949784387938,0.7120502156120624,0.052422854913282545,5.0,-0.004947577145086718
9.199367239667367e-07,5.0,-0.00042878484000266365,0.7121515999733633,0.05144876272863129,5.0,-0.004948551237271369
9.699367239667366e-07,5.0,-0.00042876493497808084,0.7123506502191914,0.0506667114796185,5.0,-0.004949333288520381
1.0199367239667366e-06,5.0,-0.00042875609725864664,0.7124390274135336,0.04985460856630765,5.0,-0.004950145391433692
1.0699367239667365e-06,5.0,-0.000428738149543196,0.7126185045680404,0.04920740276729698,5.0,-0.004950792597232703
1.1199367239667365e-06,5.0,-0.0004287304407673945,0.7126955923260552,0.048521382440250956,5.0,-0.0049514786175597495
1.1699367239667364e-06,5.0,-0.00042871422876862824,0.7128577123137175,0.04797943652112246,5.0,-0.004952020563478878
1.2199367239667364e-06,5.0,-0.00042870750371142474,0.7129249628857526,0.04739378382521842,5.0,-0.004952606216174782
1.2699367239667363e-06,5.0,-0.0004286928366047468,0.7130716339525323,0.046935656417327026,5.0,-0.004953064343582673
1.3199367239667362e-06,5.0,-0.0004286869711802039,0.713130288197961,0.046431363927677986,5.0,-0.004953568636072322
1.3699367239667362e-06,5.0,-0.0004286736832990872,0.713263167009128,0.04604107224793304,5.0,-0.004953958927752067
1.4199367239667361e-06,5.0,-0.0004286685706780075,0.7133142932199249,0.04560372326962661,5.0,-0.004954396276730374
