# artifact_type: raw_data
# circuit_file: 05_lt1001_two_stage_amplifier.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\opamp_circuits\05_lt1001_two_stage_amplifier.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:27:11.885749

Time (s),V(out),V(in),V(inv2),I(VIN),V(fb1),V(stage1),V(vcc),V(vee),V(xu1.ndrv),V(xu2.ndrv),I(E.XU1.E1),I(E.XU2.E1),I(VCC),I(VEE)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,-15.0,0.0,0.0,0.0,0.0,-3e-11,3e-11
2.0000000000000004e-07,-0.0002513253349468599,2.5132734614046513e-05,2.513756002903122e-10,0.0,2.5132684321031996e-05,5.026536864009233e-05,15.0,-15.0,5.029301451742185e-05,-0.00025137560029031217,-2.7645877329522748e-08,5.026534345226258e-08,-3e-11,3e-11
4.000000000000001e-07,-0.0005026502730275702,5.026542954007454e-05,5.02750803635101e-10,0.0,5.026532895412492e-05,0.00010053065790647839,15.0,-15.0,0.00010058594961748213,-0.000502750803635101,-5.529171100373989e-08,1.0053060753084306e-07,-3e-11,3e-11
8.000000000000002e-07,-0.001005297371054932,0.00010053054157637727,1.0054984316349902e-09,0.0,0.00010053034040511337,0.00020106068080910438,15.0,-15.0,0.0002011712638818608,-0.0010054984316349902,-1.1058307275641551e-07,2.0106058005813464e-07,-3e-11,3e-11
1.6000000000000004e-06,-0.002010569342108204,0.00020105854313461308,2.010971458188292e-09,0.0,0.00020105814079716814,0.0004021162815873906,15.0,-15.0,0.0004023374449388939,-0.0020109714581882923,-2.211633515032869e-07,4.0211608008829114e-07,-3e-11,3e-11
3.2000000000000007e-06,-0.0040209354881799485,0.0004020967665091516,4.021739679700693e-09,0.0,0.00040209596187492356,0.0008041919237236053,15.0,-15.0,0.0008046342280749741,-0.004021739679700693,-4.4230435136878056e-07,8.041915207446584e-07,-3e-11,3e-11
6.400000000000001e-06,-0.008040245531917982,0.0008040309872590642,8.041853589868796e-09,0.0,0.0008040293783158777,0.001608058756607904,15.0,-15.0,0.0016089431865111692,-0.008041853589868796,-8.844299032651545e-07,1.608057950814451e-06,-3e-11,3e-11
1.2800000000000003e-05,-0.016067491449905522,0.0016067620026678847,1.6070704965870065e-08,0.0,0.00160675878738288,0.0032135175748270635,15.0,-15.0,0.0032152850046713866,-0.016070704965870066,-1.7674298443230707e-06,3.213515964543834e-06,-3e-11,3e-11
2.5600000000000006e-05,-0.03203111205836636,0.0032031368380436367,3.2037518316012896e-08,0.0,0.003203130428259346,0.006406260856695251,15.0,-15.0,0.006409784290553944,-0.0320375183160129,-3.5234338586929634e-06,6.406257646536517e-06,-3e-11,3e-11
4.560000000000001e-05,-0.05652141506165191,0.005652186736585371,5.6532719406838925e-08,0.0,0.005652175426017143,0.01130435085159367,15.0,-15.0,0.011310568227600015,-0.056532719406838926,-6.217376006345185e-06,1.1304345187014564e-05,-3e-11,3e-11
6.560000000000001e-05,-0.08012034158606612,0.008012098273838458,8.013636574251731e-08,0.0,0.00801208224086071,0.016024164480852116,15.0,-15.0,0.016032977747272525,-0.08013636574251731,-8.813266420409915e-06,1.602415645118871e-05,-3e-11,3e-11
8.560000000000001e-05,-0.10245572247410696,0.0102456542351176,1.0247621373130513e-07,0.0,0.01024563373257997,0.02049126746627787,15.0,-15.0,0.02050253763263754,-0.10247621373130512,-1.127016635966982e-05,2.0491257198163026e-05,-3e-11,3e-11
0.0001056,-0.12317531539991601,0.01231763010865177,1.231999505984913e-07,0.0,0.01231760545989152,0.024635210919923916,15.0,-15.0,0.024648760248965118,-0.1231999505984913,-1.3549329041202124e-05,2.4635198575290174e-05,-3e-11,3e-11
0.00012560000000000002,-0.14195236002103911,0.01419534959717694,1.4198075064919374e-07,0.0,0.014195321190919747,0.0283906423811086,15.0,-15.0,0.02840625719181844,-0.14198075064919374,-1.5614810709840138e-05,2.8390628154628672e-05,-3e-11,3e-11
0.00014560000000000002,-0.15849073113876494,0.01584919994266381,1.5852242945933566e-07,0.0,0.015849168226893317,0.03169833645466834,15.0,-15.0,0.03171577049215557,-0.15852242945933567,-1.7434037487232268e-05,3.1698320570733296e-05,-3e-11,3e-11
0.00016560000000000001,-0.1725296087442836,0.017253098937201755,1.7256411485581848e-07,0.0,0.01725306441209461,0.03450612882579455,15.0,-15.0,0.03452510714487289,-0.1725641148558185,-1.8978319078342964e-05,3.4506111534882145e-05,-3e-11,3e-11
0.0001856,-0.18384759133162096,0.018384906254998296,1.838843610521233e-07,0.0,0.018384869465036067,0.03676973892755745,15.0,-15.0,0.03678996222879505,-0.1838843610521233,-2.0223301237597135e-05,3.676972050234428e-05,-3e-11,3e-11
0.0002056,-0.19226618761641584,0.019226772618542866,1.9230464106543578e-07,0.0,0.019226734143925228,0.038453468288852446,15.0,-15.0,0.038474617638712516,-0.19230464106543577,-2.1149349860069555e-05,3.84534490199262e-05,-3e-11,3e-11
0.0002256,-0.19765263123948107,0.019765421292375775,1.976921619831508e-07,0.0,0.019765381739870434,0.03953076347849059,15.0,-15.0,0.039552505339088384,-0.1976921619831508,-2.174186059779315e-05,3.953074366971898e-05,-3e-11,3e-11
0.0002456,-0.1999219748054444,0.01999235746513756,1.9996195942032365e-07,0.0,0.019992317458511155,0.03998463491544018,15.0,-15.0,0.04000662640464725,-0.19996195942032366,-2.199148920706967e-05,3.9984614879251534e-05,-3e-11,3e-11
0.0002656,-0.19903842940574942,0.01990400221781867,1.9907823731057682e-07,0.0,0.019903962387999595,0.039807924775034656,15.0,-15.0,0.039829819073929684,-0.19907823731057683,-2.1894298895028252e-05,3.9807904827410256e-05,-3e-11,3e-11
0.0002856,-0.19501592908282925,0.019501748965450184,1.9505493248316722e-07,0.0,0.01950170994057848,0.039003419882484826,15.0,-15.0,0.039024871704896213,-0.19505493248316721,-2.145182241138771e-05,3.90034003379669e-05,-3e-11,3e-11
0.0003056,-0.18791791105467445,0.018791941482116405,1.8795549484359885e-07,0.0,0.01879190387763761,0.0375838077575287,15.0,-15.0,0.03760447879540152,-0.18795549484359886,-2.067103787281588e-05,3.7583788924405725e-05,-3e-11,3e-11
0.0003256,-0.17785631529938709,0.017785773855847942,1.7789188675809245e-07,0.0,0.017785738264807154,0.035571476530141526,15.0,-15.0,0.03559104078885866,-0.17789188675809245,-1.9564258717137684e-05,3.557145870536349e-05,-3e-11,3e-11
0.0003456,-0.16498981922523717,0.016499113951166454,1.6502281737057433e-07,0.0,0.016499080934855644,0.03299816187242828,15.0,-15.0,0.033016310811945004,-0.16502281737057434,-1.8148939516723916e-05,3.2998145337165274e-05,-3e-11,3e-11
0.0003656,-0.149521335123134,0.014952253163382142,1.495512395546351e-07,0.0,0.014952223242488256,0.029904446486114268,15.0,-15.0,0.029920893886810518,-0.1495512395546351,-1.644740069624978e-05,2.990443150108213e-05,-3e-11,3e-11
0.0003856,-0.1316948102424937,0.013169586411168202,1.3172114934940911e-07,0.0,0.013169560057561612,0.02633912011387796,15.0,-15.0,0.026353606590419076,-0.13172114934940912,-1.448647654111665e-05,2.6339106915435062e-05,-3e-11,3e-11
0.0004056,-0.11179137955765384,0.01117922741412055,1.1181373795653812e-07,0.0,0.011179205043413371,0.022358410088016315,15.0,-15.0,0.022370707180016325,-0.11181373795653812,-1.2297092000009696e-05,2.2358398884286812e-05,-3e-11,3e-11
0.0004256,-0.09012493202712347,0.009012565322605469,9.014295711266812e-08,0.0,0.009012547287597117,0.018025094576973228,15.0,-15.0,0.01803500835194427,-0.09014295711266812,-9.913774971042483e-06,1.8025085544645658e-05,-3e-11,3e-11
0.0004456,-0.0670371604696375,0.006703769692107333,6.705056797547364e-08,0.0,0.0067037562772206665,0.013407512554609069,15.0,-15.0,0.013414886666396342,-0.06705056797547364,-7.3741117872731105e-06,1.3407505836143807e-05,-3e-11,3e-11
0.0004656,-0.04289217284833377,0.004289251608926763,4.290075133008568e-08,0.0,0.004289243025722558,0.00857848605056835,15.0,-15.0,0.00858320420502423,-0.04290075133008568,-4.7181544558811545e-06,8.578481751911338e-06,-3e-11,3e-11
0.0004856,-0.018070750048991516,0.0018070894655987132,1.80743642188795e-08,0.0,0.0018070858494392253,0.003614171699035366,15.0,-15.0,0.003616159488046833,-0.0180743642188795,-1.987789011467008e-06,3.6141698879846307e-06,-3e-11,3e-11
0.0005056,0.00703565927995268,-0.0007035715581047582,-7.037066419548036e-09,0.0,-0.0007035701501905327,-0.0014071403004702393,15.0,-15.0,-0.0014079142255241095,0.007037066419548036,7.739250538702294e-07,-1.407139595356252e-06,-3e-11,3e-11
0.0005256000000000001,0.032031112056094,-0.0032031368380436415,-3.203751831374008e-08,0.0,-0.0032031304282593514,-0.006406260856240776,15.0,-15.0,-0.006409784290099196,0.03203751831374008,3.523433858420612e-06,-6.406257646085489e-06,-3e-11,3e-11
0.0005456000000000001,0.05652141506619662,-0.005652186736585395,-5.653271941138455e-08,0.0,-0.005652175426017167,-0.011304350852502618,15.0,-15.0,-0.01131056822850951,0.05653271941138455,6.217376006891623e-06,-1.1304345187923559e-05,-3e-11,3e-11
0.0005656000000000002,0.08012034158606612,-0.008012098273838477,-8.013636574251731e-08,0.0,-0.00801208224086073,-0.016024164480852116,15.0,-15.0,-0.016032977747272525,0.08013636574251731,8.813266420409915e-06,-1.602415645118871e-05,-3e-11,3e-11
0.0005856000000000002,0.10245572246501752,-0.010245654235117623,-1.0247621372221387e-07,0.0,-0.010245633732579992,-0.02049126746445997,15.0,-15.0,-0.02050253763081855,0.10247621372221387,1.1270166358580413e-05,-2.0491257196345036e-05,-3e-11,3e-11
0.0006056000000000003,0.12317531539991601,-0.012317630108651792,-1.231999505984913e-07,0.0,-0.012317605459891544,-0.024635210919923916,15.0,-15.0,-0.024648760248965118,0.1231999505984913,1.3549329041202124e-05,-2.4635198575290174e-05,-3e-11,3e-11
0.0006256000000000004,0.14195236003012854,-0.014195349597176965,-1.41980750658285e-07,0.0,-0.014195321190919773,-0.028390642382926497,15.0,-15.0,-0.02840625719363743,0.141980750658285,1.5614810710933014e-05,-2.839062815646054e-05,-3e-11,3e-11
0.0006456000000000004,0.1584907311478544,-0.015849199942663844,-1.5852242946842692e-07,0.0,-0.01584916822689335,-0.03169833645648624,15.0,-15.0,-0.03171577049397456,0.15852242946842693,1.7434037488321674e-05,-3.169832057253741e-05,-3e-11,3e-11
0.0006656000000000005,0.17252960872610473,-0.017253098937201783,-1.7256411483763596e-07,0.0,-0.01725306441209464,-0.03450612882215875,15.0,-15.0,-0.03452510714123491,0.17256411483763595,1.8978319076164152e-05,-3.450611153121841e-05,-3e-11,3e-11
0.0006856000000000005,0.18384759133162096,-0.01838490625499832,-1.838843610521233e-07,0.0,-0.01838486946503609,-0.03676973892755745,15.0,-15.0,-0.03678996222879505,0.1838843610521233,2.0223301237597135e-05,-3.676972050234428e-05,-3e-11,3e-11
0.0007056000000000006,0.19226618761641584,-0.019226772618542883,-1.9230464106543578e-07,0.0,-0.019226734143925246,-0.038453468288852446,15.0,-15.0,-0.038474617638712516,0.19230464106543577,2.1149349860069555e-05,-3.84534490199262e-05,-3e-11,3e-11
0.0007256000000000006,0.19765263123948107,-0.01976542129237579,-1.976921619831508e-07,0.0,-0.019765381739870448,-0.03953076347849059,15.0,-15.0,-0.039552505339088384,0.1976921619831508,2.174186059779315e-05,-3.953074366971898e-05,-3e-11,3e-11
0.0007456000000000007,0.19992197482362328,-0.019992357465137563,-1.9996195943850616e-07,0.0,-0.019992317458511155,-0.03998463491907598,15.0,-15.0,-0.04000662640828523,0.19996195943850617,2.1991489209248483e-05,-3.9984614882887515e-05,-3e-11,3e-11
0.0007656000000000007,0.19903842940574942,-0.01990400221781866,-1.9907823731057682e-07,0.0,-0.019903962387999585,-0.039807924775034656,15.0,-15.0,-0.039829819073929684,0.19907823731057683,2.1894298895028252e-05,-3.9807904827410256e-05,-3e-11,3e-11
0.0007856000000000008,0.19501592906465035,-0.019501748965450164,-1.9505493246498468e-07,0.0,-0.01950170994057846,-0.039003419878849026,15.0,-15.0,-0.039024871701258235,0.19505493246498468,2.1451822409208898e-05,-3.900340033433092e-05,-3e-11,3e-11
0.0008056000000000008,0.18791791105467445,-0.018791941482116374,-1.8795549484359885e-07,0.0,-0.01879190387763758,-0.0375838077575287,15.0,-15.0,-0.03760447879540152,0.18795549484359886,2.067103787281588e-05,-3.7583788924405725e-05,-3e-11,3e-11
0.0008256000000000009,0.17785631528120818,-0.017785773855847894,-1.7789188673990993e-07,0.0,-0.017785738264807106,-0.035571476526505726,15.0,-15.0,-0.035591040785220684,0.17789188673990994,1.956425871495887e-05,-3.5571458701755265e-05,-3e-11,3e-11
0.0008456000000000009,0.1649898192070583,-0.016499113951166395,-1.650228173523918e-07,0.0,-0.016499080934855585,-0.03299816186879248,15.0,-15.0,-0.033016310808307026,0.1650228173523918,1.8148939514545104e-05,-3.299814533350154e-05,-3e-11,3e-11
0.000865600000000001,0.14952133511404458,-0.014952253163382055,-1.4955123954554383e-07,0.0,-0.014952223242488169,-0.029904446484296368,15.0,-15.0,-0.02992089388499153,0.14955123954554383,1.6447400695160375e-05,-2.990443149925026e-05,-3e-11,3e-11
0.000885600000000001,0.13169481025158317,-0.013169586411168102,-1.317211493585004e-07,0.0,-0.01316956005756151,-0.02633912011569586,15.0,-15.0,-0.026353606592238066,0.1317211493585004,1.4486476542206056e-05,-2.6339106917239175e-05,-3e-11,3e-11
0.0009056000000000011,0.11179137954856441,-0.011179227414120441,-1.1181373794744687e-07,0.0,-0.011179205043413264,-0.02235841008619842,15.0,-15.0,-0.022370707178197335,0.11181373794744687,1.229709199891682e-05,-2.2358398882454944e-05,-3e-11,3e-11
0.0009256000000000011,0.09012493201803402,-0.009012565322605345,-9.014295710357685e-08,0.0,-0.009012547287596996,-0.018025094575155328,15.0,-15.0,-0.01803500835012528,0.09014295710357685,9.913774969953076e-06,-1.8025085542827668e-05,-3e-11,3e-11
0.0009456000000000012,0.0670371604696375,-0.006703769692107202,-6.705056797547364e-08,0.0,-0.0067037562772205355,-0.013407512554609069,15.0,-15.0,-0.013414886666396342,0.06705056797547364,7.3741117872731105e-06,-1.3407505836143807e-05,-3e-11,3e-11
0.0009656000000000012,0.042892172852878496,-0.004289251608926627,-4.2900751334631316e-08,0.0,-0.0042892430257224215,-0.0085784860514773,15.0,-15.0,-0.008583204205933725,0.04290075133463132,4.718154456425858e-06,-8.578481752820333e-06,-3e-11,3e-11
0.0009856000000000012,0.018070750047855338,-0.0018070894655985653,-1.8074364217743094e-08,0.0,-0.0018070858494390774,-0.0036141716988081283,15.0,-15.0,-0.003616159487819459,0.018074364217743093,1.9877890113308323e-06,-3.614169887755647e-06,-3e-11,3e-11
0.0010056000000000012,-0.007035659279384591,0.0007035715581048889,7.037066418979833e-09,0.0,0.0007035701501906634,0.0014071403003566207,15.0,-15.0,0.0014079142254104227,-0.007037066418979833,-7.739250538019247e-07,1.4071395952426277e-06,-3e-11,3e-11
0.0010256000000000013,-0.03203111205836636,0.0032031368380438054,3.2037518316012896e-08,0.0,0.003203130428259515,0.006406260856695251,15.0,-15.0,0.006409784290553944,-0.0320375183160129,-3.5234338586929634e-06,6.406257646536517e-06,-3e-11,3e-11
0.0010456000000000013,-0.05652141506619662,0.005652186736585537,5.653271941138455e-08,0.0,0.00565217542601731,0.011304350852502618,15.0,-15.0,0.01131056822850951,-0.05653271941138455,-6.217376006891623e-06,1.1304345187923559e-05,-3e-11,3e-11
0.0010656000000000014,-0.0801203415997003,0.008012098273838622,8.013636575615421e-08,0.0,0.008012082240860873,0.016024164483578966,15.0,-15.0,0.01603297775000101,-0.08013636575615421,-8.813266422044025e-06,1.6024156453908756e-05,-3e-11,3e-11
0.0010856000000000015,-0.10245572246501752,0.010245654235117758,1.0247621372221387e-07,0.0,0.010245633732580127,0.02049126746445997,15.0,-15.0,0.02050253763081855,-0.10247621372221387,-1.1270166358580413e-05,2.0491257196345036e-05,-3e-11,3e-11
0.0011056000000000015,-0.12317531539082657,0.012317630108651917,1.2319995058940004e-07,0.0,0.012317605459891669,0.02463521091810602,15.0,-15.0,0.02464876024714613,-0.12319995058940003,-1.3549329040109248e-05,2.4635198573458306e-05,-3e-11,3e-11
0.0011256000000000016,-0.14195236002103911,0.01419534959717707,1.4198075064919374e-07,0.0,0.014195321190919877,0.0283906423811086,15.0,-15.0,0.02840625719181844,-0.14198075064919374,-1.5614810709840138e-05,2.8390628154628672e-05,-3e-11,3e-11
0.0011456000000000016,-0.15849073112058606,0.015849199942663927,1.5852242944115314e-07,0.0,0.01584916822689344,0.03169833645103254,15.0,-15.0,0.03171577048851759,-0.15852242944115313,-1.7434037485053455e-05,3.169832056706956e-05,-3e-11,3e-11
0.0011656000000000017,-0.17252960872610473,0.017253098937201863,1.7256411483763596e-07,0.0,0.01725306441209472,0.03450612882215875,15.0,-15.0,0.03452510714123491,-0.17256411483763595,-1.8978319076164152e-05,3.450611153121841e-05,-3e-11,3e-11
0.0011856000000000017,-0.18384759133162096,0.018384906254998383,1.838843610521233e-07,0.0,0.018384869465036154,0.03676973892755745,15.0,-15.0,0.03678996222879505,-0.1838843610521233,-2.0223301237597135e-05,3.676972050234428e-05,-3e-11,3e-11
0.0012056000000000018,-0.192266187598237,0.01922677261854293,1.923046410472533e-07,0.0,0.01922673414392529,0.03845346828521665,15.0,-15.0,0.03847461763507454,-0.19230464104725328,-2.1149349857883804e-05,3.845344901629022e-05,-3e-11,3e-11
0.0012256000000000018,-0.19765263123948107,0.019765421292375813,1.976921619831508e-07,0.0,0.019765381739870472,0.03953076347849059,15.0,-15.0,0.039552505339088384,-0.1976921619831508,-2.174186059779315e-05,3.953074366971898e-05,-3e-11,3e-11
0.0012456000000000019,-0.1999219748054444,0.019992357465137566,1.9996195942032365e-07,0.0,0.019992317458511162,0.03998463491544018,15.0,-15.0,0.04000662640464725,-0.19996195942032366,-2.199148920706967e-05,3.9984614879251534e-05,-3e-11,3e-11
0.001265600000000002,-0.19903842940574942,0.019904002217818646,1.9907823731057682e-07,0.0,0.01990396238799957,0.039807924775034656,15.0,-15.0,0.039829819073929684,-0.19907823731057683,-2.1894298895028252e-05,3.9807904827410256e-05,-3e-11,3e-11
0.001285600000000002,-0.19501592906465035,0.019501748965450125,1.9505493246498468e-07,0.0,0.019501709940578423,0.039003419878849026,15.0,-15.0,0.039024871701258235,-0.19505493246498468,-2.1451822409208898e-05,3.900340033433092e-05,-3e-11,3e-11
0.001305600000000002,-0.18791791105467445,0.01879194148211632,1.8795549484359885e-07,0.0,0.018791903877637524,0.0375838077575287,15.0,-15.0,0.03760447879540152,-0.18795549484359886,-2.067103787281588e-05,3.7583788924405725e-05,-3e-11,3e-11
0.001325600000000002,-0.17785631529938709,0.01778577385584783,1.7789188675809245e-07,0.0,0.017785738264807043,0.035571476530141526,15.0,-15.0,0.03559104078885866,-0.17789188675809245,-1.9564258717137684e-05,3.557145870536349e-05,-3e-11,3e-11
0.0013456000000000021,-0.16498981922523717,0.016499113951166305,1.6502281737057433e-07,0.0,0.016499080934855494,0.03299816187242828,15.0,-15.0,0.033016310811945004,-0.16502281737057434,-1.8148939516723916e-05,3.2998145337165274e-05,-3e-11,3e-11
0.0013656000000000022,-0.14952133511404458,0.014952253163381975,1.4955123954554383e-07,0.0,0.01495222324248809,0.029904446484296368,15.0,-15.0,0.02992089388499153,-0.14955123954554383,-1.6447400695160375e-05,2.990443149925026e-05,-3e-11,3e-11
0.0013856000000000022,-0.13169481025158317,0.013169586411167998,1.317211493585004e-07,0.0,0.013169560057561406,0.02633912011569586,15.0,-15.0,0.026353606592238066,-0.1317211493585004,-1.4486476542206056e-05,2.6339106917239175e-05,-3e-11,3e-11
0.0014056000000000023,-0.11179137954856441,0.01117922741412034,1.1181373794744687e-07,0.0,0.011179205043413161,0.02235841008619842,15.0,-15.0,0.022370707178197335,-0.11181373794744687,-1.229709199891682e-05,2.2358398882454944e-05,-3e-11,3e-11
0.0014256000000000023,-0.09012493201803402,0.00901256532260519,9.014295710357685e-08,0.0,0.00901254728759684,0.018025094575155328,15.0,-15.0,0.01803500835012528,-0.09014295710357685,-9.913774969953076e-06,1.8025085542827668e-05,-3e-11,3e-11
0.0014456000000000024,-0.06703716046509277,0.006703769692107053,6.705056797092801e-08,0.0,0.006703756277220387,0.013407512553700119,15.0,-15.0,0.013414886665486847,-0.06705056797092801,-7.374111786728407e-06,1.3407505835241751e-05,-3e-11,3e-11
0.0014656000000000024,-0.042892172852878496,0.004289251608926455,4.2900751334631316e-08,0.0,0.00428924302572225,0.0085784860514773,15.0,-15.0,0.008583204205933725,-0.04290075133463132,-4.718154456425858e-06,8.578481752820333e-06,-3e-11,3e-11
0.0014856000000000025,-0.018070750048991516,0.0018070894655984086,1.80743642188795e-08,0.0,0.0018070858494389206,0.003614171699035366,15.0,-15.0,0.003616159488046833,-0.0180743642188795,-1.987789011467008e-06,3.6141698879846307e-06,-3e-11,3e-11
0.0015056000000000026,0.007035659279384591,-0.0007035715581050463,-7.037066418979833e-09,0.0,-0.0007035701501908209,-0.0014071403003566207,15.0,-15.0,-0.0014079142254104227,0.007037066418979833,7.739250538019247e-07,-1.4071395952426277e-06,-3e-11,3e-11
0.0015256000000000026,0.03203111205836636,-0.0032031368380439434,-3.2037518316012896e-08,0.0,-0.0032031304282596528,-0.006406260856695251,15.0,-15.0,-0.006409784290553944,0.0320375183160129,3.5234338586929634e-06,-6.406257646536517e-06,-3e-11,3e-11
0.0015456000000000027,0.05652141506619662,-0.005652186736585688,-5.653271941138455e-08,0.0,-0.00565217542601746,-0.011304350852502618,15.0,-15.0,-0.01131056822850951,0.05653271941138455,6.217376006891623e-06,-1.1304345187923559e-05,-3e-11,3e-11
0.0015656000000000027,0.08012034158606612,-0.008012098273838782,-8.013636574251731e-08,0.0,-0.008012082240861034,-0.016024164480852116,15.0,-15.0,-0.016032977747272525,0.08013636574251731,8.813266420409915e-06,-1.602415645118871e-05,-3e-11,3e-11
