# artifact_type: raw_data
# circuit_file: 01_nmos_low_side_switch.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\by_device\mosfet\01_nmos_low_side_switch.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:24:43.854593

Time (s),V(drain),I(VIN),V(gate),V(m1#body diode),V(m1#gate),V(n1),V(vdd),I(LLOAD),I(VDD)
0.0,9.999999998719009,0.0,0.0,3.839999980065609e-11,0.0,9.999999998719009,10.0,1.280991979157875e-11,-1.280991979157875e-11
1e-09,10.024476348946134,-0.0035339269421785415,0.049999999999999996,0.0005852110431927293,0.039398219173464366,10.000002446109292,10.0,-2.4461092917050636e-08,2.4461092915095684e-08
1.0752681250789914e-09,10.026389482913915,-0.0037633451837353962,0.05376340625394956,0.0006128894589498834,0.042473370702743374,10.000002644718075,10.0,-2.6447180754814157e-08,2.6447180750954757e-08
1.225804375236974e-09,10.030333055327336,-0.004160475357024719,0.061290218761848696,0.0006551185855614428,0.04880879269077454,10.00000307161496,10.0,-3.071614960028453e-08,3.071614959604396e-08
1.5268768755529393e-09,10.038750128185274,-0.004674229537450832,0.07634384377764696,0.0007043486114630682,0.06232115516529446,10.000004111459168,10.0,-4.111459168220479e-08,4.111459167566167e-08
2.1290218761848696e-09,10.05669119350117,-0.005115498724028649,0.10645109380924346,0.0007485639487295748,0.0911045976371575,10.000006984600832,10.0,-6.984600831727502e-08,6.984600831039245e-08
3.3333118774487306e-09,10.093964059003772,-0.005268012211178633,0.1666655938724365,0.0007619294343372829,0.1508615572389006,10.000016054844235,10.0,-1.60548442345402e-07,1.605484423461423e-07
5.741891879976453e-09,10.169178104640718,-0.005247570176055108,0.2870945939988226,0.0007587883346771296,0.27135188347065725,10.000047737109492,10.0,-4.773710949213637e-07,4.773710949174115e-07
1.0559051885031896e-08,10.319656330524046,-0.005257115348342389,0.5279525942515948,0.0007546271785107694,0.5121812482065676,10.000165425452092,10.0,-1.6542545209230226e-06,1.6542545209219384e-06
2.0193371895142784e-08,10.621022381692843,-0.0052514439394771295,1.009668594757139,0.0007456083519957191,0.9939142629387078,10.000618187959983,10.0,-6.18187959983319e-06,6.181879599831408e-06
2.260195189767051e-08,10.69616887448815,-0.00525480666930761,1.1300975948835255,0.000742001864955863,1.1143331748756027,10.000785676566444,10.0,-7.856765664441189e-06,7.856765664435161e-06
2.7419111902725954e-08,10.843187316541332,-0.005271393776413502,1.3709555951362977,0.000703002765741742,1.3551414138070572,10.00115597515794,10.0,-1.1559751579406816e-05,1.1559751579404143e-05
