# artifact_type: raw_data
# circuit_file: 02_five_transistor_cmos_ota.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\comprehensive_circuits\02_five_transistor_cmos_ota.cir
# analysis_type: ac
# executor: spice
# timestamp: 2026-04-22T10:26:21.987376

Frequency (Hz),V(inn)_mag,V(inn)_phase,V(inn)_real,V(inn)_imag,V(inp)_mag,V(inp)_phase,V(inp)_real,V(inp)_imag,I(VINN)_mag,I(VINN)_phase,I(VINN)_real,I(VINN)_imag,I(VINP)_mag,I(VINP)_phase,I(VINP)_real,I(VINP)_imag,V(cm)_mag,V(cm)_phase,V(cm)_real,V(cm)_imag,V(d1)_mag,V(d1)_phase,V(d1)_real,V(d1)_imag,V(d2)_mag,V(d2)_phase,V(d2)_real,V(d2)_imag,V(m1#body diode)_mag,V(m1#body diode)_phase,V(m1#body diode)_real,V(m1#body diode)_imag,V(m1#gate)_mag,V(m1#gate)_phase,V(m1#gate)_real,V(m1#gate)_imag,V(m2#body diode)_mag,V(m2#body diode)_phase,V(m2#body diode)_real,V(m2#body diode)_imag,V(m2#gate)_mag,V(m2#gate)_phase,V(m2#gate)_real,V(m2#gate)_imag,V(m3#body diode)_mag,V(m3#body diode)_phase,V(m3#body diode)_real,V(m3#body diode)_imag,V(m3#gate)_mag,V(m3#gate)_phase,V(m3#gate)_real,V(m3#gate)_imag,V(m4#body diode)_mag,V(m4#body diode)_phase,V(m4#body diode)_real,V(m4#body diode)_imag,V(m4#gate)_mag,V(m4#gate)_phase,V(m4#gate)_real,V(m4#gate)_imag,V(tail)_mag,V(tail)_phase,V(tail)_real,V(tail)_imag,V(vdd)_mag,V(vdd)_phase,V(vdd)_real,V(vdd)_imag,V(vss)_mag,V(vss)_phase,V(vss)_real,V(vss)_imag,I(VCM)_mag,I(VCM)_phase,I(VCM)_real,I(VCM)_imag,I(VDD)_mag,I(VDD)_phase,I(VDD)_real,I(VDD)_imag,I(VSS)_mag,I(VSS)_phase,I(VSS)_real,I(VSS)_imag
1.0,0.5,180.0,-0.5,0.0,0.5,0.0,0.5,0.0,3.884788403035552e-07,89.96410752578021,2.4335938819675107e-10,3.884787640782998e-07,4.5065674984209367e-10,-90.00630243602758,-4.957145804951324e-14,-4.506567471157066e-10,0.0,0.0,0.0,0.0,0.5309417212121768,179.98915039803026,-0.5309417116930041,0.00010053980168895819,950.0035387221141,-0.035945544309484,950.003351765826,-0.5960018756254706,5.772473153110405e-05,89.40503954586146,5.994039277687624e-07,5.7721619392298876e-05,0.4999999999998513,-1.549243777129926e-07,0.4999999999998513,-1.3519702413471197e-09,5.805068291196177e-05,89.40500701595491,6.02821508951824e-07,5.804755285775168e-05,0.4999999992712801,179.99986645083814,-0.49999999926992184,1.1654362922348994e-06,5.389052456299816e-11,-91.77997517848759,-1.6739167863405343e-12,-5.386452116437606e-11,0.5309417212121768,179.98915037640745,-0.5309417116929661,0.0001005400020605314,6.6567378811551e-08,87.49342605434823,2.9112587348174346e-09,6.650368782570994e-08,0.5309417211665082,179.9891391160883,-0.5309417116275282,0.00010064434783752447,5.772484915662849e-05,89.4050391482985,5.994055496910504e-07,5.7721737007322574e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.880281836138811e-07,89.96407315984904,2.4330981673870156e-10,3.880281073311841e-07,0.0009500036203370723,179.98781686952879,-0.0009500035988603605,2.0200472121779907e-07,0.0,0.0,0.0,0.0
1.1220184543019633,0.5,180.0,-0.5,0.0,0.5,0.0,0.5,0.0,4.3588040573026845e-07,89.95972798257499,3.063712894491033e-10,4.3588029805924517e-07,5.056451816295658e-10,-90.0070700633585,-6.23945339839338e-14,-5.056451777799515e-10,0.0,0.0,0.0,0.0,0.5309417073798098,179.9878265472697,-0.5309416953958835,0.00011280750141870423,950.0034903454175,-0.040331562696415635,950.0032549814255,-0.6687250351438567,6.476757685663306e-05,89.46143064157634,6.087938577822147e-07,6.476471556270896e-05,0.4999999999998128,-1.7382800770766557e-07,0.4999999999998128,-1.5169355333398547e-09,6.513329664820347e-05,89.46140172608563,6.122643725864846e-07,6.51304188885726e-05,0.49999999908259596,179.99985015539102,-0.4999999990808861,1.3076408941777356e-06,6.046023480387682e-11,-91.58901133486708,-1.6765577523895602e-12,-6.04369849234955e-11,0.5309417073798097,179.98782652300852,-0.5309416953958357,0.00011280772623930019,7.467554960123124e-08,87.75743790363633,2.9220616938861032e-09,7.46183574176159e-08,0.5309417073223165,179.98781388872325,-0.5309416953134544,0.00011292480411479185,6.476770883229707e-05,89.46143030199376,6.087954821604267e-07,6.476484752893434e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.353747606336355e-07,89.95968942175642,3.0630889491511937e-10,4.353746528814652e-07,0.0009500035931290289,179.98633030375265,-0.0009500035660914554,2.2665300200324063e-07,0.0,0.0,0.0,0.0
1.258925411794167,0.5,180.0,-0.5,0.0,0.5,0.0,0.5,0.0,4.890658277792379e-07,89.95481405470785,3.8569855642656137e-10,4.890656756898963e-07,5.673432134705027e-10,-90.00793536444803,-7.857603456784545e-14,-5.673432080291816e-10,0.0,0.0,0.0,0.0,0.5309416899658949,179.9863411626566,-0.5309416748790289,0.00012657208218508207,950.0034295091659,-0.04525275570595779,950.0031332035027,-0.7503217341869844,7.266984685749113e-05,89.51067659568277,6.206150766887366e-07,7.266719672051344e-05,0.4999999999997643,-1.9503822813300065e-07,0.4999999999997643,-1.7020296240875448e-09,7.308018792950177e-05,89.5106509111546,6.241522309588223e-07,7.307752254834508e-05,0.4999999988450569,179.9998318716049,-0.4999999988429043,1.467197027069689e-06,6.783221434175437e-11,-91.41909005054362,-1.6798825308979696e-12,-6.781140978617161e-11,0.5309416899658949,179.9863411354351,-0.5309416748789687,0.0001265723344379299,8.377461540695333e-08,87.99180844574552,2.935661810661141e-09,8.372316332005359e-08,0.5309416898935151,179.98632695953478,-0.5309416747752567,0.00012670369795798943,7.266999493452807e-05,89.51067630957785,6.20616704158773e-07,7.266734478905125e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.884984846858115e-07,89.95477079180445,3.856199803919935e-10,4.884983324818671e-07,0.0009500035588761381,179.9846623499185,-0.000950003524837857,2.5430881841624994e-07,0.0,0.0,0.0,0.0
1.412537544622754,0.5,180.0,-0.5,0.0,0.5,0.0,0.5,0.0,5.487408398978728e-07,89.94930053744402,4.855656432489752e-10,5.487406250660042e-07,6.365695389770079e-10,-90.0089010828211,-9.889311591848582e-14,-6.365695312953267e-10,0.0,0.0,0.0,0.0,0.5309416680430804,179.98467453423393,-0.5309416490498466,0.0001420161891415469,950.0033529208796,-0.050774424283542806,950.0029798942257,-0.8418746966794409,8.153639914523008e-05,89.55343047935102,6.354971052926682e-07,8.153392256600588e-05,0.4999999999997033,-2.1883648505918905e-07,0.4999999999997033,-1.90970859388598e-09,8.199680646067961e-05,89.55340768513551,6.39118153655426e-07,8.199431564282868e-05,0.4999999985460131,179.99981135686826,-0.49999999854330307,1.6462218751980129e-06,7.610428466314551e-11,-91.26796902213829,-1.684068177841354e-12,-7.608564949096162e-11,0.5309416680430803,179.98467450369094,-0.5309416490497709,0.00014201647217388356,9.398531512027276e-08,88.19961376556806,2.952783338319108e-09,9.393891913799048e-08,0.5309416679519596,179.98465859807038,-0.5309416489192051,0.0001421638644438358,8.153656528852728e-05,89.55343024292966,6.354987366550798e-07,8.153408870163436e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.481042705284834e-07,89.9492519927156,4.854667501330567e-10,5.481040555347089e-07,0.000950003515754314,179.9827908755019,-0.0009500034729026688,2.8533914137056484e-07,0.0,0.0,0.0,0.0
1.584893192461113,0.5,180.0,-0.5,0.0,0.5,0.0,0.5,0.0,6.156972865054702e-07,89.9431142719417,6.112907957600555e-10,6.156969830474745e-07,7.142427469404496e-10,-90.00999040521529,-1.2453926778732693e-13,-7.14242736082776e-10,0.0,0.0,0.0,0.0,0.5309416404439009,179.98280454712884,-0.5309416165328448,0.00015934475272238178,950.0032565019661,-0.05696983720132483,950.0027868893512,-0.9445987541433053,9.148488648200008e-05,89.59025933280466,6.542324624612903e-07,9.148254715796617e-05,0.4999999999996264,-2.455385659526998e-07,0.4999999999996264,-2.142728208248328e-09,9.20014693468744e-05,89.59023912655545,6.579591271907446e-07,9.199911658146949e-05,0.49999999816953933,179.9997883389677,-0.4999999981661276,1.8470909491424235e-06,8.53862107331425e-11,-91.13365178214694,-1.6893375932263492e-12,-8.536949760810785e-11,0.5309416404439009,179.982804512859,-0.5309416165327494,0.00015934507028986722,1.054431378206702e-07,88.3835873156581,2.9743380567256985e-09,1.0540117943644259e-07,0.5309416403291867,179.98278666646098,-0.5309416163683769,0.0001595104471031897,9.148507289617111e-05,89.59025914293139,6.542340987239102e-07,9.14827335652024e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.149830439980452e-07,89.94305980761004,6.111662564922682e-10,6.149827403113917e-07,0.0009500034614671714,179.9806910474697,-0.0009500034075201647,3.201557173980731e-07,0.0,0.0,0.0,0.0
1.778279410038922,0.5,180.0,-0.5,0.0,0.5,0.0,0.5,0.0,6.908236294546213e-07,89.93617316837317,7.695693249321067e-10,6.908232008089407e-07,8.013935100814336e-10,-90.0112078353078,-1.567634910770721e-13,-8.013934947488959e-10,0.0,0.0,0.0,0.0,0.5309416056986065,179.98070638813505,-0.5309415755963834,0.0001787877075200145,950.0031351177869,-0.06392120323826461,950.0025439107211,-1.0598569632183412,0.00010264731783757957,89.62165165618441,6.778188687961753e-07,0.00010264507986664626,0.4999999999995297,-2.754987898703666e-07,0.4999999999995297,-2.4041804842466877e-09,0.0001032269309652975,89.62163376986078,6.816784965925973e-07,0.0001032246801445351,0.4999999976955872,179.99976251247614,-0.49999999769129205,2.072469602426822e-06,9.580115746372763e-11,-91.01436226609388,-1.6959713911218514e-12,-9.578614436561496e-11,0.5309416056986065,179.98070634968366,-0.5309415755962635,0.00017878806383656617,1.1830012054477102e-07,88.54615331315117,3.0014738270292134e-09,1.1826203818543384e-07,0.5309416055541898,179.98068632569826,-0.5309415753893307,0.0001789736196255871,0.00010264752699621737,89.62165151034088,6.778205112277893e-07,0.00010264528901899849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.900222362828849e-07,89.93611205655095,7.694125614410297e-10,6.900218073141918e-07,0.0009500033931237349,179.97833500279654,-0.0009500033252085064,3.5922053142049006e-07,0.0,0.0,0.0,0.0
1.9952623149688786,0.5,180.0,-0.5,0.0,0.5,0.0,0.5,0.0,7.75116736190906e-07,89.92838512646318,9.68830043968083e-10,7.75116130713062e-07,8.991782610940723e-10,-90.01257644090171,-1.973698982027372e-13,-8.99178239432696e-10,0.0,0.0,0.0,0.0,0.5309415619568943,179.97835221650476,-0.5309415240604618,0.00020060304277367264,950.0029822514899,-0.0717207619660573,950.0022379661906,-1.1891786889464682,0.00011517180989153723,89.64802386781936,7.075123779920735e-07,0.00011516963671006078,0.4999999999994079,-3.091147088973498e-07,0.4999999999994079,-2.697534718298088e-09,0.00011582214435750268,89.64800806414056,7.115393962754352e-07,0.00011581995870858242,0.49999999709891707,179.9997335347009,-0.49999999709350984,2.3253483921391864e-06,1.074873239641037e-10,-90.90852199569242,-1.7043228430521035e-12,-1.0747381121282913e-10,0.5309415619568945,179.9783521733616,-0.5309415240603108,0.00020060344256738038,1.3272686556019025e-07,88.68945686899656,3.035635717935006e-09,1.326921465544243e-07,0.5309415617750846,179.97832970608397,-0.530941523799798,0.00020081163951994133,0.00011517204457003583,89.64802376407117,7.075140281899862e-07,0.0001151698713828501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7421755840772e-07,89.928316559088,9.686326740698803e-10,7.742169524736294e-07,0.0009500033070844881,179.9756914787915,-0.0009500032215843278,4.030519357947433e-07,0.0,0.0,0.0,0.0
2.2387211385683385,0.5,180.0,-0.5,0.0,0.5,0.0,0.5,0.0,8.696951061265298e-07,89.91964680100065,1.2196842702483224e-09,8.696942508667727e-07,1.008894537142627e-09,-90.01411065515178,-2.4846791291111003e-13,-1.008894506546612e-09,0.0,0.0,0.0,0.0,0.5309415068893764,179.97571079457975,-0.5309414591806276,0.00022508022493610225,950.0027898707192,-0.0804720076278964,950.0018528715165,-1.3342798940622362,0.00012922455223602245,89.66972581342738,7.448942640960595e-07,0.00012922240530626185,0.4999999999992546,-3.468323831948451e-07,0.4999999999992546,-3.026683519639836e-09,0.00012995423752897449,89.66971188273021,7.491320143642932e-07,0.00012995207829412416,0.4999999963477545,179.99970102113758,-0.49999999634094716,2.6090827526003183e-06,1.2059977724972246e-10,-90.81472966505861,-1.7148366904836995e-12,-1.2058758479962872e-10,0.5309415068893764,179.97571074617235,-0.5309414591804374,0.00022508067351196544,1.48914803932639e-07,88.81539100689807,3.0786429594758524e-09,1.4888297682349177e-07,0.5309415066604914,179.9756855374772,-0.5309414588524713,0.00022531427424021198,0.00012922481554840322,89.66972575039846,7.448959240711562e-07,0.00012922266861344853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.686862122644568e-07,89.91956986674663,1.2194358023354113e-09,8.686853563602261e-07,0.0009500031987675616,179.97272539832656,-0.0009500030911293106,4.522315269378459e-07,0.0,0.0,0.0,0.0
2.511886431509579,0.5,180.0,-0.5,0.0,0.5,0.0,0.5,0.0,9.7581370986293e-07,89.90984224183474,1.535490762316627e-09,9.758125017771463e-07,1.1319981965750714e-09,-90.01583115205922,-3.1277758161252223e-13,-1.1319981533639525e-09,0.0,0.0,0.0,0.0,0.5309414375635338,179.97274707338804,-0.5309413775018303,0.0002525440374582936,950.0025476251093,-0.09029106227567343,950.0013680137537,-1.4970859008435586,0.0001449920122265345,89.68704539634543,7.919552273852498e-07,0.00014498984935648889,0.49999999999906164,-3.8915229962687457e-07,0.49999999999906164,-3.3959944600918576e-09,0.0001458107307499034,89.68703315380799,7.964582732612789e-07,0.00014580855549671897,0.49999999540209755,179.99966454036922,-0.49999999539352774,2.9274375053314395e-06,1.353125097290587e-10,-90.73174292279117,-1.7280728280931637e-12,-1.3530147469069736e-10,0.530941437563534,179.972747019074,-0.530941377501591,0.0002525445407686128,1.6707873527651542e-07,88.92562075823612,3.1327858190195237e-09,1.670493622693965e-07,0.530941437275385,179.97271873445987,-0.5309413770887064,0.00025280664496292384,0.0001449923076667649,89.68704537319981,7.919568996690805e-07,0.00014499014479199226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.74681712619948e-07,89.90975591872086,1.5351779847350144e-09,9.746805036237824e-07,0.000950003062404738,179.96939740449412,-0.0009500029268963251,5.074118602259805e-07,0.0,0.0,0.0,0.0
2.818382931264452,0.5,180.0,-0.5,0.0,0.5,0.0,0.5,0.0,1.094880639026057e-06,89.89884135341445,1.9330670952832918e-09,1.0948789325609075e-06,1.2701227360821262e-09,-90.0177630589182,-3.937683512589274e-13,-1.2701226750433329e-09,0.0,0.0,0.0,0.0,0.5309413502875567,179.96942172768604,-0.5309412746744353,0.0002833588888936808,950.0022427226081,-0.10130821647404953,950.0007576810875,-1.6797569301875872,0.00016268340886530752,89.70021238978565,8.512014017511252e-07,0.0001626811819978281,0.4999999999988187,-4.3663601246412626e-07,0.4999999999988187,-3.810368025129999e-09,0.00016360202440770816,89.70020167297798,8.560384346251343e-07,0.00016359978480578384,0.49999999421158753,179.99962360834417,-0.4999999942007987,3.2846367976827224e-06,1.5182074775065518e-10,-90.65846215338493,-1.7447361189190757e-12,-1.5181072209644288e-10,0.5309413502875568,179.96942166674472,-0.530941274674134,0.0002833594536170379,1.8745967753904894e-07,89.02160453020038,3.2009475624888066e-09,1.874323468287862e-07,0.530941349924799,179.96938993089563,-0.5309412741543433,0.00028365353917114114,0.00016268374035366054,89.70021240621654,8.512030895307162e-07,0.0001626815134818877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0936105176369532e-06,89.89874449754771,1.932673326932033e-09,1.0936088098858642e-06,0.0009500028907342837,179.9656633384948,-0.0009500027201394842,5.6932510584133e-07,0.0,0.0,0.0,0.0
