# artifact_type: raw_data
# circuit_file: 04_class_ab_power_amplifier.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\comprehensive_circuits\04_class_ab_power_amplifier.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:26:26.120133

Time (s),V(out),V(in),I(VIN),V(b1),V(b2),V(c2),V(c3),V(e3),V(np),V(pp),V(tail),V(vdd),V(vss),I(VDD),I(VSS)
0.0,-0.029956207112349864,0.0,-1.6099436204791232e-06,-0.0016099436204791231,-0.0055205679911663075,7.6584054892462134,0.5322726641813735,8.346063720659346,-0.09261210721567154,-0.7174968786127167,-0.6382488328674963,12.0,-12.0,-0.004664508015153501,0.008413169257742617
1e-07,-0.0360756377780273,0.00018849554681287718,-1.6391237456630878e-06,-0.0014506281988502106,-0.0055830417658948245,7.670487207920881,0.52086520954882,8.358041277514781,-0.10386518197304628,-0.7285955734949123,-0.6381865713362147,12.0,-12.0,-0.004647873673405911,0.009161519733343596
1.1220064120239317e-07,-0.03695208254249216,0.00021149320855925417,-1.6425741567438046e-06,-0.0014310809481845506,-0.00559402890412589,7.672165856118233,0.519295652515153,8.359705493745738,-0.1054128517287351,-0.7301213559726232,-0.6381803406924794,12.0,-12.0,-0.004645683776800524,0.009268893681387886
1.366019236071795e-07,-0.038965909857429426,0.00025748852818828667,-1.6502787375115814e-06,-0.0013927902093232947,-0.005624723546889877,7.675973973916589,0.515742888556697,8.363480865778785,-0.10891571361287927,-0.7335743157824557,-0.6381721152158972,12.0,-12.0,-0.004640808524683848,0.009515768117404493
1.854044884167522e-07,-0.04499164322915883,0.00034947914820733056,-1.6711601352426649e-06,-0.0013216809870353343,-0.0057504964661793155,7.686992701635884,0.505477814075297,8.374405016369089,-0.11903440297239842,-0.743546620020094,-0.6381866174296636,12.0,-12.0,-0.00462725412967302,0.010255507733635951
2.830096180358976e-07,-0.07398207361835174,0.0005334602810162566,-1.7613044901747187e-06,-0.001227844209158462,-0.006524653688270199,7.736065538119092,0.4611761137984169,8.42305588508792,-0.1626612692989333,-0.786498652396283,-0.6384660045165066,12.0,-12.0,-0.004573569408734102,0.013826067906931283
4.2194448585384505e-07,-0.26427371393784044,0.000795345686490181,-2.2997433069726534e-06,-0.0015043976204824725,-0.0121470670579941,8.034772250925624,0.22128561857739973,8.719103711320853,-0.39809606985171675,-1.0174777582808339,-0.6408970899286301,12.0,-12.0,-0.0042899176197011,0.037331968004284476
5.787880296428376e-07,-1.2437569461846523,0.0010909873284080062,-4.365607259448136e-06,-0.0032746199310401294,-0.04748644463698107,9.616666396787881,-0.9141299452557274,10.282381302890329,-1.4962336874791449,-2.078337429702556,-0.6513141043663985,12.0,-12.0,-0.0028186765120210566,0.15831427784492338
7.482467466279187e-07,-2.1310560761385813,0.001410406693672335,-2.503281390444498e-06,-0.0010928746967721634,-0.1631104314906124,11.1783922505077,-5.51371087800386,11.78861135750684,-4.260070389040568,-3.006429900110091,-0.6536840463927214,12.0,-12.0,-0.001362154497286383,0.26782081928656165
8.372158121908075e-07,-2.143439517315887,0.0015781073488741392,-3.1811133589331206e-06,-0.0016030060100589816,-0.19507661586804803,11.349621209401539,-9.02205498496761,11.930840578257683,-6.020533428481256,-3.019011872069208,-0.6538051284686811,12.0,-12.0,-0.001172187237699518,0.26919399519094445
9.291712011122071e-07,-2.121065170192192,0.0017514365022231122,-2.8328327346012093e-06,-0.001081396232378097,-0.18436706515675721,11.551351313421916,-10.982422507819221,12.028582531360355,-6.988798379746578,-2.995174251749065,-0.6534309718422593,12.0,-12.0,-0.0010237241072275083,0.2662435171953057
1.047038975113607e-06,-2.1099150515099514,0.0019736077350407367,-3.061356412746943e-06,-0.0010877486777062068,-0.18911134619104855,11.721585060288085,-11.87539362647715,12.011082207998658,-7.429705583539102,-2.984017540712399,-0.6533740868307176,12.0,-12.0,-0.0010220643136023,0.2648504776445848
1.164623436763446e-06,-2.1073143719703373,0.002195243868500952,-2.890094354808719e-06,-0.0006948504863077664,-0.18681468768004295,11.877029157005174,-11.966702754258428,12.017439070949262,-7.473754803386174,-2.9808068526983704,-0.6530147856996436,12.0,-12.0,-0.0009838228344705158,0.2644859320958883
