# artifact_type: raw_data
# circuit_file: inverting amplifier.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\cir\inverting amplifier.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:26:09.947959

Time (s),V(n001),V(n002),V(n003),V(n004),V(n005),V(n006),V(xu1.ndrv),I(E.XU1.E1),I(V1),I(V2),I(V3)
0.0020056000000000036,3.51785427587301e-09,-0.0035178190941290714,12.0,0.00035178577905261064,0.0,-12.0,-0.00351785427587301,3.518174393870102e-08,-1.2e-11,-1.2e-11,-3.5178226119833475e-08
0.0020256000000000037,1.6015668189126343e-08,-0.016015508017870498,12.0,0.001601568419022058,0.0,-12.0,-0.016015668189126343,1.601712558453594e-07,-1.2e-11,-1.2e-11,-1.601552403353869e-07
0.0020456000000000038,2.8260905447740547e-08,-0.028260622812969188,12.0,0.0028260933682929114,0.0,-12.0,-0.02826090544774055,2.826347713612287e-07,-1.2e-11,-1.2e-11,-2.8260651073874636e-07
0.002065600000000004,4.006045134519745e-08,-0.04006005070422975,12.0,0.004006049136919455,0.0,-12.0,-0.04006045134519745,4.006409677001499e-07,-1.2e-11,-1.2e-11,-4.0060090764681107e-07
0.002085600000000004,5.122821999398676e-08,-0.05122770766517012,12.0,0.005122827117559006,0.0,-12.0,-0.05122821999398676,5.12328816641705e-07,-1.2e-11,-1.2e-11,-5.122775889339012e-07
0.002105600000000004,6.158808901121564e-08,-0.06158747307428155,12.0,0.006158815054326068,0.0,-12.0,-0.061588089011215645,6.159369340952292e-07,-1.2e-11,-1.2e-11,-6.158753466237057e-07
0.002125600000000004,7.097667707379673e-08,-0.07097596724243857,12.0,0.007097674798588639,0.0,-12.0,-0.07097667707379673,7.098313581643811e-07,-1.2e-11,-1.2e-11,-7.097603821911565e-07
0.002145600000000004,7.924592053951222e-08,-0.07924512800819457,12.0,0.007924599971332049,0.0,-12.0,-0.07924592053951222,7.925313176559978e-07,-1.2e-11,-1.2e-11,-7.92452072541151e-07
0.002165600000000004,8.626540849910138e-08,-0.08626454576651651,12.0,0.008626549468601,0.0,-12.0,-0.08626540849910137,8.627325848581391e-07,-1.2e-11,-1.2e-11,-8.626463203192502e-07
0.002185600000000004,9.192443943420248e-08,-0.09192352010615867,12.0,0.009192453127499244,0.0,-12.0,-0.09192443943420249,9.193280438163365e-07,-1.2e-11,-1.2e-11,-9.19236120305981e-07
0.002205600000000004,9.613376704642787e-08,-0.09613280562127752,12.0,0.009613386309271502,0.0,-12.0,-0.09613376704642787,9.614251503531346e-07,-1.2e-11,-1.2e-11,-9.613290175504458e-07
0.0022256000000000042,9.88270077248022e-08,-0.09882601936479427,12.0,0.009882710646187924,0.0,-12.0,-0.0988270077248022,9.883600079335642e-07,-1.2e-11,-1.2e-11,-9.8826118191802e-07
0.0022456000000000043,9.996168745496365e-08,-0.0999606877471259,12.0,0.009996178732568788,0.0,-12.0,-0.09996168745496366,9.997078377621538e-07,-1.2e-11,-1.2e-11,-9.996078770881334e-07
0.0022656000000000043,9.951991165974264e-08,-0.09951891637006482,12.0,0.009952001108909307,0.0,-12.0,-0.09951991165974264,9.952896778131493e-07,-1.2e-11,-1.2e-11,-9.951901588997649e-07
0.0022856000000000044,9.75086474073339e-08,-0.09750767223212883,12.0,0.009750874482725031,0.0,-12.0,-0.0975086474073339,9.751752050729534e-07,-1.2e-11,-1.2e-11,-9.750776974077624e-07
0.0023056000000000044,9.395961353646897e-08,-0.09395867385483216,12.0,0.009395970741058106,0.0,-12.0,-0.09395961353646896,9.396816368079097e-07,-1.2e-11,-1.2e-11,-9.395876781444569e-07
0.0023256000000000045,8.892878043138149e-08,-0.08892789106265368,12.0,0.008892886927923843,0.0,-12.0,-0.08892878043138149,8.893687278022089e-07,-1.2e-11,-1.2e-11,-8.892797999143412e-07
0.0023456000000000045,8.249548733541262e-08,-0.08249466230546995,12.0,0.008249556975583064,0.0,-12.0,-0.08249548733541262,8.250299426693086e-07,-1.2e-11,-1.2e-11,-8.249474480095729e-07
0.0023656000000000046,7.476119112374895e-08,-0.07476044344380646,12.0,0.007476126581690883,0.0,-12.0,-0.07476119112374896,7.476799425004677e-07,-1.2e-11,-1.2e-11,-7.47605182049976e-07
0.0023856000000000046,6.584786626789283e-08,-0.06584720772930985,12.0,0.00658479320558388,0.0,-12.0,-0.06584786626789282,6.585385829704915e-07,-1.2e-11,-1.2e-11,-6.584727357717613e-07
0.0024056000000000047,5.589608122538353e-08,-0.055895522213706916,12.0,0.005589613707060039,0.0,-12.0,-0.05589608122538353,5.590116766152065e-07,-1.2e-11,-1.2e-11,-5.589557810978814e-07
0.0024256000000000047,4.506278159124953e-08,-0.04506233092242735,12.0,0.004506282661302485,0.0,-12.0,-0.04506278159124953,4.50668822184197e-07,-1.2e-11,-1.2e-11,-4.506237598520894e-07
0.002445600000000005,3.351881497222046e-08,-0.03351847975356926,12.0,0.003351884846053395,0.0,-12.0,-0.03351881497222046,3.352186511984545e-07,-1.2e-11,-1.2e-11,-3.351851327238423e-07
0.002465600000000005,2.1446236617910133e-08,-0.02144602213602829,12.0,0.002144625804463109,0.0,-12.0,-0.021446236617910133,2.1448188184183814e-07,-1.2e-11,-1.2e-11,-2.144604358226491e-07
0.002485600000000005,9.035438300774427e-09,-0.009035347938169343,12.0,0.0009035447327990652,0.0,-12.0,-0.009035438300774426,9.036260508257787e-08,-1.2e-11,-1.2e-11,-9.035356973607645e-08
