# artifact_type: raw_data
# circuit_file: multistage_amplifier.cir
# file_path: E:\Individual Project\circuit_design_ai\TestWork\cir\multistage_amplifier.cir
# analysis_type: tran
# executor: spice
# timestamp: 2026-04-22T10:26:11.833282

Time (s),V(m1#body diode),V(m1#gate),V(m2#body diode),V(m2#gate),V(n001),V(n002),V(n003),V(n004),V(n005),V(n006),V(n007),V(n008),V(n009),I(V1),I(V2)
0.0,2.26771387955254,3.9553072625564782,1.1253012657327133,2.803160377365469,12.0,2.434939241275643,0.0,2.803160377365469,1.1253012657325243,0.0,0.0,3.9553072625564782,2.2677138795524594,0.0,-0.0024186618630014692
2e-07,2.2677211549677576,3.955314938888063,1.1252992256281098,2.8031581912645827,12.0,2.4349367347965196,-2.506479123365324e-06,2.803158191458324,1.1252992256379726,1.2566367307023255e-05,7.687753122542773e-06,3.9553149503096003,2.267721155223979,-4.878614184480483e-09,-0.002418662425288396
4e-07,2.267732504868729,3.955326823276539,1.1252942092418148,2.8031527086009858,12.0,2.4349392547379094,1.3462266412744839e-08,2.8031527007079218,1.125294209079195,2.5132714770037265e-05,1.9580715158173945e-05,3.9553268432716346,2.2677325053248554,-5.551999611863321e-09,-0.002418662831428284
8e-07,2.267753217327587,3.9553483628396706,1.125280766402966,2.803137934489425,12.0,2.4349686153258046,2.9374050160679843e-05,2.8031378997728256,1.125280765642669,5.0265270788188626e-05,4.112189303828728e-05,3.9553483844495116,2.2677532178333535,-9.143377749901346e-09,-0.00241866131501192
9e-07,2.2677581973007643,3.955353484489976,1.1252786103945631,2.803135463912647,12.0,2.4349904145761596,5.1173300514850695e-05,2.803135417670626,1.1252786093617708,5.6548366384088814e-05,4.623929766589541e-05,3.955353501854138,2.2677581977049805,-1.0309068718193404e-08,-0.002418659069085712
1.1e-06,2.2677644256574387,3.9553599847927785,1.12526947663136,2.8031256018769164,12.0,2.435030992141028,9.175086538171229e-05,2.8031255519050347,1.1252694755209613,6.911448812223289e-05,5.274219687567694e-05,3.9553600047533446,2.267764426125048,-1.637229124655595e-08,-0.002418655619633877
1.5e-06,2.267789032726204,3.955385777063101,1.1252431885301388,2.8030972532943634,12.0,2.4351147714399026,0.00017553016425164714,2.8030971959991713,1.1252431872679698,9.424638433144006e-05,7.855650339561038e-05,3.9553858190598588,2.2677890336932305,-1.568988093582968e-08,-0.0024186495400568293
2.3e-06,2.2678405134731383,3.9554392068239097,1.1251658946298224,2.8030134446235504,12.0,2.4353901507621667,0.00045090948649040286,2.803013330157019,1.1251658920913878,0.00014450823207274257,0.00013198042853579395,3.9554392429849887,2.2678405143393228,-1.2527803536948603e-08,-0.002418628408361344
3.9e-06,2.26792866583597,3.955530933119571,1.1249580547541533,2.8027894385115113,12.0,2.4362835682259605,0.0013443269501407507,2.8027892865844684,1.1249580513598396,0.0002450197042319182,0.00022372411226134759,3.955530986668687,2.2679286670842647,-2.1295591970570618e-08,-0.0024185536090594274
7.1e-06,2.268118298292298,3.955727979127723,1.1243989284584708,2.8021873399042088,12.0,2.4387551737313955,0.0038159324547497597,2.802187125665859,1.1243989236930823,0.00044595820503260595,0.00042077640018955975,3.955728038956541,2.2681182997259617,-2.5181804843046172e-08,-0.0024183444986870116
1.35e-05,2.2684962166473714,3.9561205616259922,1.1230525926740906,2.800738885653963,12.0,2.4449070257937553,0.009967784512698419,2.8007386476415763,1.1230525873581998,0.0008472132214207344,0.0008133697239705029,3.956120632280131,2.268496218308418,-3.384349745023149e-08,-0.0024178175372272046
2.63e-05,2.2692560528310333,3.9569096549620024,1.120188729161699,2.7976580926629726,12.0,2.4580578942541624,0.023118652951929608,2.7976578501826297,1.1201887237417374,0.0016449673435223247,0.0016024589048981852,3.956909721460571,2.2692560544273324,-4.2508438624139536e-08,-0.0024166891154094486
4.63e-05,2.270418701129929,3.9581170838840034,1.1157770772098263,2.7929116569239594,12.0,2.4783508243957435,0.043411583026979894,2.7929114294190023,1.1157770720811409,0.002868255260616828,0.0028098899666129107,3.958117152521279,2.270418702746992,-5.8365294003917357e-08,-0.0024149468755257815
6.63e-05,2.271541111648397,3.959282662014382,1.111518667173996,2.7883290848558913,12.0,2.4979253810782893,0.06298613960312816,2.78832886319093,1.1115186621831352,0.004046309078838765,0.003975461375878009,3.959282723929252,2.2715411131405254,-7.084770296075628e-08,-0.002413266878755138
8.63e-05,2.272600799319894,3.960383107168978,1.1074858293939116,2.7839885286337873,12.0,2.5164811114517605,0.08154186983207135,2.783988324346041,1.1074858248442851,0.005160550185739533,0.005075906272209885,3.9603831688240287,2.2726008007770644,-8.464391352964838e-08,-0.002411673860827629
0.0001063,2.273585654208882,3.961405788164301,1.1037308310563523,2.7799461895454747,12.0,2.5337516658953945,0.0988124240953514,2.779945996772296,1.103730826769227,0.006193406333447935,0.006098578977934199,3.961405841527958,2.2735856555027127,-9.482735551373623e-08,-0.0024101915132600698
0.00012629999999999998,2.2744756620873687,3.9623299773589546,1.100312969339214,2.7762662858069485,12.0,2.549496362150226,0.1145571201368134,2.7762661198486787,1.1003129656086457,0.007128588763516253,0.007022766057649399,3.962330028605667,2.2744756632988645,-1.0582270586685394e-07,-0.0024088394380033917
0.00014629999999999998,2.27526133001805,3.963145769256799,1.0972917425176782,2.773012888575163,12.0,2.5634044523005457,0.12846521004411082,2.773012740188724,1.097291739193118,0.007951349090371406,0.007838547970376641,3.963145810516208,2.275261331024491,-1.1280111999476602e-07,-0.002407645461458629
0.00016629999999999998,2.2759257503049404,3.9638356618995494,1.0947132671918824,2.770236015851281,12.0,2.5752977444881253,0.1403585019628668,2.7702358975940156,1.0947132645061017,0.008648711892165694,0.00852843694339045,3.96383569948689,2.2759257511908584,-1.202749487752449e-07,-0.002406623765472189
0.00018629999999999997,2.276462827779746,3.9643932810839524,1.092617533645648,2.767978781495724,12.0,2.584959333529202,0.1500200907135656,2.767978684602488,1.0926175314621807,0.009209679340930471,0.009086045001215126,3.964393307542276,2.2764628284322117,-1.2363433971534486e-07,-0.0024057939918301612
0.00020629999999999997,2.2768597862133206,3.964805409825397,1.0910390385318036,2.7662786388475826,12.0,2.592261436528112,0.15732219340513387,2.766278574189126,1.0910390370453253,0.009625404644893011,0.009498168901571624,3.9648054314401247,2.2768597867164084,-1.27235743321388e-07,-0.0024051660955436514
0.00022629999999999997,2.2771145994797273,3.9650699051738827,1.0900001846702358,2.7651597287980763,12.0,2.5970703446673333,0.16213110122490226,2.765159687527283,1.090000183743498,0.009889331567667562,0.009762652512190328,3.9650699150482045,2.2771145997340074,-1.2667905547723184e-07,-0.002404752511775344
0.00024629999999999997,2.277219122285667,3.9651783508776677,1.089519486709449,2.764642199744609,12.0,2.599329480243121,0.16439023647416873,2.7646421914316366,1.0895194865058764,0.009997297824019669,0.009871092711099205,3.9651783552445847,2.277219122374312,-1.2620511292046358e-07,-0.0024045571691613333
0.00026629999999999997,2.2771757121920544,3.9651331620074473,1.0896018836140935,2.7647313036073617,12.0,2.5989874324711124,0.16404818837372215,2.76473131920531,1.0896018839912183,0.009947600721590745,0.009825892031551042,3.965133154562558,2.277175712030007,-1.2170869003970298e-07,-0.0024045853891277976
